opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
OPP015,GLC011,Food Science Technician / Graduate,graduate,Level 5-6,technician,Lab and applied food science roles.,Science A-levels or food science degree,Lab report samples; food safety awareness,Highlight hygiene and precision,seed
OPP016,GLC014,Teacher Training (PGCE / QTS),graduate,Level 6-7,teaching_support,Initial teacher training for primary or secondary — PGCE and school-led QTS routes with local placements.,Degree (or equivalent); GCSE English Maths (and Science for primary),School volunteering or TA experience; short teaching activity,Apply via DfE Apply; prepare safeguarding and subject knowledge examples,seed
OPP017,GLC021,Teaching Assistant Apprenticeship,apprenticeship,Level 3,teaching_support,Support teachers in class with learning behaviour and pupil wellbeing — common first step into teaching.,GCSEs English Maths; patience and communication,Youth work volunteering; literacy/numeracy tutoring; reflective journal,Show examples of helping learners; ask about SEND and progression to HLTA/QTS,seed
OPP018,GLC021,Early Years Educator Pathway,apprenticeship,Level 2-3,care,Nursery and early years roles working with under-5s under the EYFS framework.,Interest in childcare; DBS readiness,Babysitting; playgroup volunteering; EYFS awareness notes,Emphasise care safeguarding and play-based learning,seed
OPP019,GLC022,Hotel Chef / Front of House Apprentice,apprenticeship,Level 2-3,ops,Kitchen or guest-facing hotel roles with structured hospitality training.,GCSEs helpful; food hygiene interest for chef routes,Part-time cafe/kitchen work; allergen awareness,Ask about rotation across departments and supervisor progression,seed
OPP020,GLC023,Pub & Restaurant Hospitality Apprentice,apprenticeship,Level 2-3,customer_success,Chef waiting bar or hospitality supervisor pathways in pubs and inns.,Customer service attitude; team working,Part-time hospitality shifts; food hygiene certificate,Highlight pace teamwork and weekend flexibility,seed
OPP021,GLC024,Cotswolds Hotel / Restaurant Apprentice,apprenticeship,Level 2-3,customer_success,Independent hotel and restaurant apprenticeships in tourism-heavy Cotswold towns.,Any; passion for hospitality and local tourism,Customer service examples; seasonal event volunteering,Target Cirencester Cheltenham and Cotswold employers on Find an Apprenticeship,seed
OPP022,GLC025,Plumbing & Domestic Heating Apprentice,apprenticeship,Level 3,technician,Install and maintain plumbing and heating systems; pathway to qualified plumber / heating engineer.,GCSEs Maths English helpful; practical hands-on attitude,DIY plumbing-safe projects; measuring tasks; workshop experience,Ask about gas pathway timing and college day-release,seed
OPP023,GLC027,Installation / Maintenance Electrician Apprentice,apprenticeship,Level 3,technician,Electrotechnical apprenticeship toward qualified electrician status in domestic or commercial settings.,GCSEs Maths English; colour vision and practical aptitude,Wiring kit practice; D&T electronics; problem-solving examples,Confirm AM2 / end-point assessment support with the employer,seed
OPP024,GLC026,Bricklaying / Site Trade Apprentice,apprenticeship,Level 2-3,field_ops,Housebuilding site apprenticeships such as bricklaying joinery or groundworks.,Practical outdoor work preference; Maths English helpful,D&T making; landscaping; construction taster days,Be ready for site starts PPE and weather; ask about trade choice,seed
OPP025,GLC025,Carpentry & Joinery Apprentice,apprenticeship,Level 2-3,technician,Site carpenter or bench joiner routes with contractors and housebuilders.,Workshop or D&T experience valued,Woodwork portfolio photos; accurate measuring practice,Ask whether the role is site-based or workshop-based,seed
OPP026,GLC025,Scaffolding / Groundworks Apprentice,apprenticeship,Level 2,field_ops,Outdoor construction support trades — scaffolding or groundworks with civils and housebuilders.,Fitness for outdoor physical work; teamwork,Any outdoor practical work examples,Discuss CSCS and progression to advanced craft or gang leader roles,seed
VOP00001,VAC3F33647C,Advanced and Creative Hair Apprentice,apprenticeship,Advanced Level 3 (A level),customer_success,Daily duties:     Shampooing and conditioning..  Apply Treatments..  Precision Cutting..  Blow Drying..  Straightening hair..  Advanced colouring creations..  Keeping salon workstation clean and tidy..  Shadowing senior Hair Stylist..,"Communication skills,Attention to detail,Customer care skills,Team working,Time management",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00002,VACCC7549F0,Apprentice LGV Class 2 Driver,apprenticeship,Intermediate Level 2 (GCSE),admin,"The Apprenticeship Programme Overview   You will start your programme by working as a Driver&rsquo;s mate, gaining valuable insight into the role of a Driver. You will then spend time in other key departments such as Customer Services and Warehouse, learning more about our business as a whole, our customers and our products. Alongside all of this, you will spend approx. &frac12; day each week c...","Communication skills,Attention to detail,Customer care skills,Strong interpersonal skills,Knowledge of delivery routes",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00003,VAC0DFA13B8,Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Supporting the facilities team with admin duties to include:     Scanning, binding, printing, incoming and outgoing post and copying..  To support the office Legal Support Assistants with duties including diary management, expense claims, travel and accommodation booking and supporting with client documents..  To comply with the firm&rsquo;s procedures and manuals..  To carry out additional dut...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00004,VAC0DFA13B8,"Paralegal Apprentice (Ashfords, Bristol)",apprenticeship,Advanced Level 3 (A level),admin,"Supporting fee-earners with a variety of legal tasks, matters and transactions..  Document review and production of reports..  Contributing proactively to the development of processes.  Assisting with management of client files, including financial aspects..  Ensuring instructions and procedures are efficiently handled and implemented..  Ensuring deadlines are met and managing key dates.  Deliv...","Communication skills,Attention to detail,Team working,Microsoft Office applications,Written communication skills,Interpersonal skills,Manage time effectively,To work well under pressure,Ability to pri",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00005,VAC0DFA13B8,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"We are currently seeking a Business Administration Apprentice to join our Bristol office in our Legal Support department.   The primary focus of the role is to assist with providing comprehensive administrative support to our Business Support teams. You will assist with general office admin duties, receiving and processing telephone calls and email correspondence, assisting in accurate document...","Communication skills,IT skills,Attention to detail,Organisation skills,Administrative skills,Number skills,Analytical skills,Logical,Team working,Initiative,Interpersonal skills,Listen to and follow r",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00006,VAC73823B5A,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"As an Operations Business Administrator, you will provide high-quality administration support across the Operations functions to ensure the efficiency of daily activities, delivering a consistently outstanding service to our clients and each other. You will have the opportunity to learn and develop new skills which will enable you to improve your career prospects.     Daily Duties:-     Ensure ...","Communication skills,IT skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00007,VAC73823B5A,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"As an Operations Business Administrator, you will provide high-quality administration support across the Operations functions to ensure the efficiency of daily activities, delivering a consistently outstanding service to our clients and each other. You will have the opportunity to learn and develop new skills which will enable you to improve your career prospects.     Daily Duties:-     Ensure ...","Communication skills,IT skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00008,VAC73823B5A,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Daily duties:        Ensure that information is recorded and issued accurately within set time criteria.  .    Participate in the effective distribution of workloads to ensure SLA&rsquo;s are met.  .    Work alongside Team leader and colleagues to ensure client satisfaction.  .    Undertake all aspects of the role in an ethical, compliant, diplomatic and professional manner.  .","Communication skills,IT skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00009,VAC80053701,Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Taking sales orders/payments over the phone.  Processing phone and web orders using computer-based systems and emailing the company&rsquo;s distributor.  Accurately sending documentation to customers.  Ensuring all documentation is scanned and filled correctly.  Processing in-house orders and sending them out via the click and drop royal mail system.  Importing sales information into the accoun...,"Communication skills,Organisation skills,Customer care skills,Administrative skills,Willing to learn,Self Motivated,Team Player,Proactive,Numeracy,Literacy",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00010,VAC80053701,Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Taking sales orders/payments over the phone.  Processing phone and web orders using computer-based systems and emailing the company&rsquo;s distributor.  Accurately sending documentation to customers.  Ensuring all documentation is scanned and filled correctly.  Processing in-house orders and sending them out via the click and drop royal mail system.  Importing sales information into the accoun...,"Communication skills,Organisation skills,Customer care skills,Administrative skills,Willing to learn,Self Motivated,Team Player,Proactive,Numeracy,Literacy",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00011,VAC80053701,Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Taking sales orders/payments over the phone.  Processing phone and web orders using computer-based systems and emailing the company&rsquo;s distributor.  Accurately sending documentation to customers.  Ensuring all documentation is scanned and filled correctly.  Processing in-house orders and sending them out via the click and drop royal mail system.  Importing sales information into the accoun...,"Communication skills,Organisation skills,Customer care skills,Administrative skills,Willing to learn,Self Motivated,Team Player,Proactive,Numeracy,Literacy",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00012,VAC514E8C34,Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"As an apprentice you will provide administration support. Duties will include;     Undertaking routine administrative tasks for the team including room booking and diary management.  Working on legal documents, file opening and closing, production of paper and electronic bundles.  Taking telephone calls and fielding enquiries as appropriate.  Distribution of the post and scanning as necessary. ...","Communication skills,Attention to detail,Organisation skills,Administrative skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00013,VAC7A484926,Business Administration Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,"You will support the residential conveyancing teams in a wide range of administrative duties;     Providing fee estimates, opening files, producing standard and ad hoc correspondence, and ordering searches.  Handling telephone enquiries, correspondence & emails to provide updates and information..  Drafting and amending letters and legal documents.  Working as part of an office team to provide ...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00014,VAC7A484926,Business Administration Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,"You will support the residential the conveyancing teams in a wide range of administrative duties:     Providing fee estimates, opening files, producing standard and ad hoc correspondence.  Handling telephone enquiries, correspondence & emails to provide updates and information.  Performing identity checks.  Data entry and uploading documentation to case management systems.  Drafting and amendin...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00015,VAC7A484926,Business Administration Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,You will support the Head of Finance and the residential conveyancing teams in a wide range of administrative duties;     Input of client and office transactions into the system.  Allocation of receipts on bank statements.  Input of the month-end bills on Sage.  Assisting with month-end tasks on Excel.  Drafting completion statements.  Checking and archiving files to be closed.  Filing.  Other ...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00016,VACE436629C,Digital Marketing and Copywriting Apprentice,apprenticeship,Advanced Level 3 (A level),software,"This position is central to the company&rsquo;s growth plans. You will be working with the social media, SEO, content, PR, and video teams to develop and execute digital marketing strategies.   Successful candidates will thrive on the dynamism and faster pace of the smaller business. You will need to demonstrate genuine enthusiasm and interest in digital marketing practices, a willingness to co...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00017,VACE436629C,Digital Marketing Apprentice - Social Media & Copywriting/SEO,apprenticeship,Advanced Level 3 (A level),software,"This position is central to the company&rsquo;s growth plans. You will be working with the social media, SEO, content, PR, and video teams to develop and execute digital marketing strategies to promote the company&rsquo;s new website, which is currently being rebuilt.   Successful candidates will thrive on the dynamism and faster pace of the smaller business. You will need to demonstrate genuin...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Logical,Team working,Creative,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00018,VACE436629C,Digital Marketing Apprentice - Social Media & Copywriting/SEO,apprenticeship,Advanced Level 3 (A level),software,"This position is central to the company&rsquo;s growth plans. You will be working with the social media, SEO, content, PR, and video teams to develop and execute digital marketing strategies to promote the company&rsquo;s new website, which is currently being rebuilt.   Successful candidates will thrive on the dynamism and faster pace of the smaller business. You will need to demonstrate genuin...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Logical,Team working,Creative,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00019,VAC198BE530,Business Support Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Forestry England Human Resources:     Support the business by providing a full range of administrative support to Forestry England's Human Resources Team..  Helping the team with finance duties, relocation admin, post filing admin, diary management, assisting with the admin of shared group inboxes, HR systems input, navigation and support..  Supporting colleagues with payroll, pensions and expe...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Administrative skills,Number skills,Logical,Team working,Creative,Initiative,Non judgemental,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00020,VAC198BE530,Estates Business Support Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Key responsibilities for Forestry England National Estates team:     Help support management of our forests, properties and employees across England..  Supporting the office-based team in the day to day running of national estate..  Help with updating systems including intranet pages, mapping systems, financial information and tasks which include paying or issuing of invoices, archiving and ens...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Administrative skills,Number skills,Logical,Team working,Creative,Initiative,Non judgemental,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00021,VAC44E08900,Mechanical HGV Engineer Apprentice - Bristol,apprenticeship,Advanced Level 3 (A level),admin,"Carry out servicing, maintenance and repairs on HGVs and trailers.  Diagnose mechanical, electrical and hydraulic faults.  Use diagnostic equipment and workshop tools safely.  Complete inspections and MOT preparation .","Problem solving skills,Effective writing skills,Effective verbal skills,Team Player,Decision making skills,Can do attitude",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00022,VAC44E08900,Heavy Vehicle Service and Maintenance Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Duties will include:     To correctly interpret instructions from mechanics/technicians and report to workshop manager.  To attend training and to keep abreast of the latest technical information which may be circulated or displayed.  To accurately report and record work done via the completion of job sheets and the quantification of time.  To protect and maintain all tools and equipment by onl...,"Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Analytical skills,Team working,Initiative,Willingness to learn,Time keeping",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00023,VAC44E08900,"Apprentice Refrigeration, Air Conditioning and Heat Pump Engineer (Transport Refrigeration)",apprenticeship,Advanced Level 3 (A level),admin,"You will be working with highly skilled engineers helping to keep critical refrigeration systems operating. This will include travel to and from the refrigeration systems, their routine maintenance, break down response and subsequent repair..  Throughout your apprenticeship you will gain skills in mechanical engineering, electrical and electronic control system as well and diesel engine technol...","IT skills,Attention to detail,Organisation skills,Problem solving skills,Team working,Motivated",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00024,VAC29334743,Finance Assistant Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,Invoice processing.  Credit control.  Accounts reconciliations.,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Logical,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00025,VAC29334743,Finance Technician Apprentice,apprenticeship,Higher Level 4 (Higher national certificate),admin,Invoice processing.  Credit control.  Accounts reconciliation.,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Logical,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00026,VAC29334743,Business Administration Level 3 Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,Daily Duties may include but are not exclusive to:     Organising and maintaining the office systems.  Taking minutes for meetings.  Preparing and maintaining documents.  Supporting the team on projects.  Maintaining strict confidentiality.  Working to streamline and develop communications channels.  Sustaining a level of professionalism among staff.  Liaising with key stakeholders and very sen...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Presentation skills,Administrative skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00027,VACBC648D54,Patient  Administration Co-ordinator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Support the team leader in the delivery of safe and efficient responses to patient requirements.  Working in our telephone hub being the first contact to our patient enquiries and appointment booking requests.  Making of appointments by telephone and reception desk, using a computerised system.  Letter scanning and filing, dealing with clerical patient changes of address, completion of forms et...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Logical,Team working,Creative,I",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00028,VACBC648D54,Patient Co-ordinator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Key responsibilities:     Support the team leader in the delivery of safe and efficient responses to patient requirements..  Working in our telephone hub being the first contact to our patient enquiries and appointment booking requests..  Making of appointments by telephone and reception desk, using a computerised system..  Letter scanning and filing, dealing with clerical patient changes of ad...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Logical,Team working,Creative,I",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00029,VACBC648D54,Prescription Clerk Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Communicate information between patients and their healthcare professional.  Dealing with queries and repeat prescription requests in person, phone and electronically, ensuring all medication has relevant, current authorisations.  Arranging appointments by phone using a computerised system..  Dealing with emails, change of patient details, EPS nominations, completion of forms etc..  Work with t...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Logical,Team working,Creative,I",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00030,VACD06F62C4,Online Marketing Assistant Apprentice (A1 Decoy),apprenticeship,Advanced Level 3 (A level),software,"Using SEO and content techniques to improve amazon listings..  Website development, updating content with new products and promotions..  Use social media to direct traffic to amazon, including Facebook, Twitter, Instagram etc. scope to expand to other platforms..  Sending email campaigns.  Create content in line with Amazon listings i.e., imagery, videography, photography etc. as well as copywr...","Attention to detail,Organisation skills,Creative,Motivated and positive,Interest of social media,Going the extra mile,Confidence,Willingness to learn",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00031,VACEDD14DD7,Production Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"In the beginning the apprentice will be carrying out simple task to get familiarised with the kitchen and the staff. This is a way to understand the level and skill of the apprentice.     Cleaning and stocking incoming food deliveries.  Preparation of bread, pizza and pasta dough.  Balling and breading different kinds of arancini balls.  Basic transformation of ingredients like chopping up a mi...","Basic knife skills,Basic cleaning skills,Knowledge of equipment,Punctuality,Passionate about food,Clean",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00032,VACEDD14DD7,Production Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"In the beginning the apprentice will be carrying out simple task to get familiarised with the kitchen and the staff. This is a way to understand the level and skill of the apprentice..  Cleaning and stocking incoming food deliveries.  Preparation of bread, pizza and pasta dough.  Balling and breading different kinds of arancini balls.  Basic transformation of ingredients like chopping up a mire...","Basic knife skills,Basic cleaning skills,Knowledge of equipment,Punctuality,Passionate about food,Clean",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00033,VACEDD14DD7,Production Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"In the Beginning the apprentice will be carrying out simple task to get familiarised with the kitchen and the staff. This is a way to understand the level and skill of the apprentice..  Cleaning and stocking incoming food deliveries.  Preparation of Bread, Pizza and Pasta Dough.  Balling and breading different kind of arancini balls,.  Basic transformation of ingredients like chopping up a mire...","Basic knife skills,Basic cleaning skills,Knowledge of equipment,Punctuality,Passionate about food,Clean",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00034,VACBC496A0B,Level 3 Paralegal Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Checking paperwork and liaising with courts and internal/external customers regarding cases/dates, ensuring that deadlines are met.  Deliver support to colleagues, generating and sending appropriate letters and proformas.  Accept receipt of new prosecution cases submitted via an IT system, checking accuracy.  Prepare summonses or postal charges and related documentation for cases to be presente...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Logical,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00035,VACBC496A0B,L4 Regulatory Compliance Officer apprentice,apprenticeship,Higher Level 4 (Higher national certificate),admin,"An Apprentice Regulatory Compliance Officer you will:      Monitor and lead on bus compliance remote enforcement schemes.  Conduct Desk Based Assessments (DBA&rsquo;s) of operators, approved tachograph centres and MOT testing stations, to assess their processes and procedures to ensure compliance with regulatory requirements.  Analyse data and information provided by operators.  Update spreadsh...","Communication skills,IT skills,Attention to detail,Team working,Passion for learning",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00036,VACBC496A0B,L3 Learning and Development Practitioner Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Dealing with training applications from assessment through to payment.  Responding to queries in the shared inbox.  Budget and database management.  Leading the monthly Viva Engage plan to promote learning activities and initiatives.  Working with stakeholders across the business to clarify training needs and requests.,"Communication skills,IT skills,Organisation skills,Customer care skills,Problem solving skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00037,VAC4A7E665B,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,Preparation of statutory accounts.  Completion of corporation tax returns.  Completion of personal tax returns.  All aspects of bookkeeping.  VAT.  Some administrative tasks.,"Communication skills,IT skills,Number skills,Initiative,Team-working,Microsoft Office,Hard Working,Self-Motivated",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00038,VAC4A7E665B,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,Preparation of statutory accounts.  Completion of corporation tax returns.  Completion of personal tax returns.  All aspects of bookkeeping.  VAT.  Some administrative tasks.,"Communication skills,IT skills,Number skills,Initiative,Team-working,Microsoft Office,Hard Working,Self-Motivated",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
