company_id,name,town,postcode,sectors,entry_routes,role_families,size_band,priority_employer,hiring_signal,website,summary,profile_text,employer_key,source,n_vacancies_raw,n_live_vacancies,sector_list,entry_route_list,role_family_list,n_sectors,n_entry_routes,n_opportunities
GLC011,Campden BRI,Chipping Campden,GL55,agri_tech_food,graduate|internship|apprenticeship,research_lab|technician|quality|analyst,medium,1,medium,https://www.campdenbri.co.uk,Food and drink research organisation offering science and technical pathways.,Campden BRI food science research laboratory technician graduate agri-tech,campden bri,seed,,,['agri_tech_food'],"['graduate', 'internship', 'apprenticeship']","['research_lab', 'technician', 'quality', 'analyst']",1,3,1
GLC012,NHS Gloucestershire,County-wide,GL1,health_care|public_sector,apprenticeship|school_leaver|graduate|traineeship,care|admin|analyst|project_support,large,1,high,https://www.nhsglos.nhs.uk,Major healthcare employer with clinical support admin digital and apprenticeship routes.,NHS Gloucestershire healthcare nursing support worker apprenticeships graduate health,nhs gloucestershire,seed,,,"['health_care', 'public_sector']","['apprenticeship', 'school_leaver', 'graduate', 'traineeship']","['care', 'admin', 'analyst', 'project_support']",2,4,1
GLC013,Gloucestershire County Council,Gloucester,GL1,public_sector|construction_green|education_training,apprenticeship|graduate|school_leaver,admin|project_coord|analyst|field_ops|social,large,1,high,https://www.gloucestershire.gov.uk,Local authority with digital social care environment highways and business support pathways.,Gloucestershire County Council public sector apprenticeships graduate schemes local government,gloucestershire county council,seed,,,"['public_sector', 'construction_green', 'education_training']","['apprenticeship', 'graduate', 'school_leaver']","['admin', 'project_coord', 'analyst', 'field_ops', 'social']",3,3,1
GLC014,University of Gloucestershire,Cheltenham,GL50,education_training|creative_events|cyber_digital,apprenticeship|graduate|internship|higher_apprenticeship,teaching_support|admin|software|content,large,1,high,https://www.glos.ac.uk,"University with teacher training (PGCE/QTS), education degrees, and creative business and computing graduate connections.",University of Gloucestershire teacher training PGCE QTS education teaching creative computing graduate jobs apprenticeships,university of gloucestershire,seed,,,"['education_training', 'creative_events', 'cyber_digital']","['apprenticeship', 'graduate', 'internship', 'higher_apprenticeship']","['teaching_support', 'admin', 'software', 'content']",3,4,1
GLC015,Cheltenham Festivals,Cheltenham,GL50,creative_events|hospitality_tourism,internship|school_leaver|graduate,events|content|project_coord|customer_success,sme,1,medium,https://www.cheltenhamfestivals.com,Major cultural organisation offering events marketing hospitality and seasonal experience routes.,Cheltenham Festivals events marketing hospitality creative internships school leavers culture,cheltenham festivals,seed,,,"['creative_events', 'hospitality_tourism']","['internship', 'school_leaver', 'graduate']","['events', 'content', 'project_coord', 'customer_success']",2,3,1
GLC016,Stagecoach West,Gloucestershire,GL1,business_professional,apprenticeship|school_leaver,customer_success|ops|admin|technician,large,0,medium,https://www.stagecoachbus.com,Transport operator with customer service engineering and apprenticeship opportunities.,Stagecoach West transport customer service engineering apprenticeships Gloucestershire,stagecoach west,seed,,,['business_professional'],"['apprenticeship', 'school_leaver']","['customer_success', 'ops', 'admin', 'technician']",1,2,0
GLC017,Superdry,Cheltenham,GL50,hospitality_retail|business_professional|creative_events,internship|graduate|school_leaver,sales|content|design|project_coord,large,1,medium,https://www.superdry.com,Fashion retail headquartered in Cheltenham with retail design and commercial pathways.,Superdry Cheltenham fashion retail design marketing graduate school leaver jobs,superdry,seed,,,"['hospitality_retail', 'business_professional', 'creative_events']","['internship', 'graduate', 'school_leaver']","['sales', 'content', 'design', 'project_coord']",3,3,1
GLC018,Ecotricity,Stroud,GL5,construction_green|business_professional,graduate|internship|apprenticeship,analyst|sales|project_coord|field_ops,medium,1,medium,https://www.ecotricity.co.uk,Green energy company with sustainability-focused commercial and technical roles.,Ecotricity Stroud green energy sustainability graduate jobs environment,ecotricity,seed,,,"['construction_green', 'business_professional']","['graduate', 'internship', 'apprenticeship']","['analyst', 'sales', 'project_coord', 'field_ops']",2,3,1
GLC019,Dowty Propellers,Staverton,GL2,aerospace_manufacturing,apprenticeship|graduate,engineer_ops|manufacturing|technician|quality,large,1,medium,https://www.dowty.com,Aerospace propeller systems manufacturer with engineering career pathways.,Dowty Propellers aerospace manufacturing engineering apprenticeships Gloucestershire,dowty propellers,seed,,,['aerospace_manufacturing'],"['apprenticeship', 'graduate']","['engineer_ops', 'manufacturing', 'technician', 'quality']",1,2,0
GLC020,Ultra Electronics,Cheltenham corridor,GL50,aerospace_manufacturing|cyber_digital,apprenticeship|graduate,engineer_ops|cyber|software|technician,mixed,1,medium,https://www.ultra.group,Defence and electronics employer offering STEM entry routes in the county.,Ultra defence electronics engineering cyber apprenticeships Gloucestershire,ultra electronics,seed,,,"['aerospace_manufacturing', 'cyber_digital']","['apprenticeship', 'graduate']","['engineer_ops', 'cyber', 'software', 'technician']",2,2,0
GLC021,Gloucestershire Schools & Early Years,County-wide,GL1,education_training,apprenticeship|school_leaver|graduate,teaching_support|care|admin,large,1,high,https://www.gloucestershire.gov.uk/education-and-families/,Gateway to Teaching Assistant early years and school support roles across Gloucestershire; stepping stone to teacher training.,Gloucestershire schools early years teaching assistant apprenticeship teacher training QTS education careers,gloucestershire schools early years,seed,,,['education_training'],"['apprenticeship', 'school_leaver', 'graduate']","['teaching_support', 'care', 'admin']",1,3,2
GLC022,Hilton (Gloucestershire hotels),Cheltenham / Gloucester,GL50,hospitality_tourism,apprenticeship|school_leaver,customer_success|ops|events,large,1,high,https://www.hilton.com,Hotel group with chef reception and front-of-house apprenticeship routes for hospitality careers.,Hilton hotel hospitality chef reception front of house apprenticeship Gloucestershire tourism,hilton gloucestershire hotels,seed,,,['hospitality_tourism'],"['apprenticeship', 'school_leaver']","['customer_success', 'ops', 'events']",1,2,1
GLC023,Greene King (Gloucestershire pubs & inns),County-wide,GL1,hospitality_tourism,apprenticeship|school_leaver,customer_success|ops,large,1,high,https://www.greeneking.co.uk,Pub hotel and inn operator offering chef bar and waiting apprenticeships across the county.,Greene King pub hotel inn chef hospitality apprenticeship Gloucestershire restaurants,greene king gloucestershire pubs inns,seed,,,['hospitality_tourism'],"['apprenticeship', 'school_leaver']","['customer_success', 'ops']",1,2,1
GLC024,Cotswold hospitality independents,Cotswolds / Cirencester,GL7,hospitality_tourism,apprenticeship|school_leaver|internship,customer_success|ops|events,mixed,1,medium,https://www.findapprenticeship.service.gov.uk,Independent hotels restaurants and inns in the Cotswolds regularly hiring hospitality apprentices.,Cotswold hotels restaurants inns hospitality apprenticeship chef waiting tourism Cirencester Cheltenham,cotswold hospitality independents,seed,,,['hospitality_tourism'],"['apprenticeship', 'school_leaver', 'internship']","['customer_success', 'ops', 'events']",1,3,1
GLC025,Gloucestershire Construction & Trades,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|field_ops|engineer_ops|ops,large,1,high,https://www.findapprenticeship.service.gov.uk,Gateway to plumbing electrical bricklaying joinery scaffolding and groundworks apprenticeships with Gloucestershire contractors and housebuilders.,Gloucestershire construction trades plumbing electrician bricklayer carpenter scaffolder groundworker building services apprenticeship,gloucestershire construction trades,seed,,,['construction_green'],"['apprenticeship', 'school_leaver']","['technician', 'field_ops', 'engineer_ops', 'ops']",1,2,3
GLC026,Barratt Homes,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|field_ops|ops,large,1,high,https://www.barrattdevelopments.co.uk/careers,Major housebuilder with site trade apprenticeships including bricklaying joinery and groundworks.,Barratt Homes housebuilder construction bricklaying joinery groundworks apprenticeship Gloucestershire,barratt homes,seed,,,['construction_green'],"['apprenticeship', 'school_leaver']","['technician', 'field_ops', 'ops']",1,2,1
GLC027,Gloucestershire electrical & building services,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|engineer_ops|field_ops,mixed,1,high,https://www.findapprenticeship.service.gov.uk,Electrical installation maintenance and building-services employers offering electrotechnical apprenticeships across the county.,electrical installation electrician electrotechnical building services maintenance apprenticeship Gloucestershire,gloucestershire electrical building services,seed,,,['construction_green'],"['apprenticeship', 'school_leaver']","['technician', 'engineer_ops', 'field_ops']",1,2,1
GLC028,GCHQ,Cheltenham,GL51,cyber_digital|public_sector,apprenticeship|graduate|higher_apprenticeship|internship,cyber|software|analyst|data,large,1,high,https://www.gchq.gov.uk/careers,UK intelligence and security organisation based in Cheltenham; major cyber digital and STEM early-career routes for eligible applicants.,GCHQ Cheltenham cyber security intelligence digital apprenticeships graduates STEM careers public sector,gchq,seed,,,"['cyber_digital', 'public_sector']","['apprenticeship', 'graduate', 'higher_apprenticeship', 'internship']","['cyber', 'software', 'analyst', 'data']",2,4,0
GLC029,CGI,Gloucester / Cheltenham corridor,GL1,cyber_digital|business_professional,apprenticeship|graduate|internship|higher_apprenticeship,software|cyber|analyst|project_coord,large,1,high,https://www.cgi.com/uk/en-gb/careers,Global IT and business consulting employer with a significant Gloucestershire footprint and digital graduate and apprenticeship pathways.,CGI Gloucestershire IT consulting software cyber digital apprenticeships graduates business technology,cgi,seed,,,"['cyber_digital', 'business_professional']","['apprenticeship', 'graduate', 'internship', 'higher_apprenticeship']","['software', 'cyber', 'analyst', 'project_coord']",2,4,0
GLC030,Gloucestershire Constabulary,County-wide,GL1,public_sector,apprenticeship|graduate|school_leaver,ops|admin|analyst|social,large,1,high,https://www.gloucestershire.police.uk/police-forces/gloucestershire-constabulary/areas/gloucestershire/about-us/careers/,County police force with police staff apprenticeships and graduate pathways into public service roles.,Gloucestershire Constabulary police public sector apprenticeships graduate careers community safety,gloucestershire constabulary,seed,,,['public_sector'],"['apprenticeship', 'graduate', 'school_leaver']","['ops', 'admin', 'analyst', 'social']",1,3,0
GLC031,Gloucestershire Health and Care NHS Foundation Trust,County-wide,GL1,health_care|public_sector,apprenticeship|school_leaver|graduate,care|admin|ops,large,1,high,https://www.ghc.nhs.uk/work-for-us/,NHS trust delivering community and mental health services with clinical support and apprenticeship routes.,Gloucestershire Health Care NHS community mental health apprenticeships care careers,gloucestershire health and care nhs foundation trust,seed,,,"['health_care', 'public_sector']","['apprenticeship', 'school_leaver', 'graduate']","['care', 'admin', 'ops']",2,3,0
GLC032,Royal Agricultural University,Cirencester,GL7,agri_tech_food|education_training,apprenticeship|graduate|internship|school_leaver,teaching_support|field_ops|research_lab|business_dev,medium,1,medium,https://www.rau.ac.uk/,Specialist land-based university employer and talent pipeline into agri-food and rural business careers.,Royal Agricultural University Cirencester agri-tech education farming graduate apprenticeships,royal agricultural university,seed,,,"['agri_tech_food', 'education_training']","['apprenticeship', 'graduate', 'internship', 'school_leaver']","['teaching_support', 'field_ops', 'research_lab', 'business_dev']",2,4,0
GLC033,A D Burs Limited,Gloucester,GL2,health_care|aerospace_manufacturing,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/03059307,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 32500 - Manufacture of medical and dental instruments and supplies. Leaver routes vary — check careers pages and Find an Apprenticeship.,A D Burs Limited Gloucester Gloucestershire health_care aerospace_manufacturing apprenticeship graduate school leaver 32500 - Manufacture of medical and dental instruments and supplies,a d burs,seed,,,"['health_care', 'aerospace_manufacturing']","['apprenticeship', 'school_leaver', 'graduate']","['care', 'admin']",2,3,0
GLC034,Abec (Group) Ltd,Tewkesbury,GL20,construction_green|business_professional,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/13152619,Companies House–listed employer with registered office in Tewkesbury (accounts category: GROUP). Nature of business (SIC): 64203 - Activities of construction holding companies. Leaver routes vary — check careers pages and Find an Apprenticeship.,Abec (Group) Ltd Tewkesbury Gloucestershire construction_green business_professional apprenticeship graduate school leaver 64203 - Activities of construction holding companies,abec,seed,,,"['construction_green', 'business_professional']","['apprenticeship', 'school_leaver', 'graduate']","['technician', 'field_ops', 'engineer_ops']",2,3,0
GLC035,Aceo Limited,Westbury-On-Severn,GL14,hospitality_tourism|hospitality_retail|agri_tech_food,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/03836436,"Companies House–listed employer with registered office in Westbury-On-Severn (accounts category: GROUP). Nature of business (SIC): 11010 - Distilling, rectifying and blending of spirits. Leaver routes vary — check careers pages and Find an Apprenticeship.","Aceo Limited Westbury-On-Severn Gloucestershire hospitality_tourism hospitality_retail agri_tech_food apprenticeship graduate school leaver 11010 - Distilling, rectifying and blending of spirits",aceo,seed,,,"['hospitality_tourism', 'hospitality_retail', 'agri_tech_food']","['apprenticeship', 'school_leaver', 'graduate']","['customer_success', 'ops']",3,3,0
GLC036,Allstone Sands Gravels Aggregates Trading Co. Ltd.,Gloucester,GL1,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/01768403,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 08120 - Operation of gravel and sand pits; mining of clays and kaolin. Leaver routes vary — check careers pages and Find an Apprenticeship.,Allstone Sands Gravels Aggregates Trading Co. Ltd. Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 08120 - Operation of gravel and sand pits; mining of clays and kaolin,allstone sands gravels aggregates trading co,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
GLC037,Anderbury Limited,Cheltenham,GL51,hospitality_tourism,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/02468075,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 55100 - Hotels and similar accommodation. Leaver routes vary — check careers pages and Find an Apprenticeship.,Anderbury Limited Cheltenham Gloucestershire hospitality_tourism apprenticeship graduate school leaver 55100 - Hotels and similar accommodation,anderbury,seed,,,['hospitality_tourism'],"['apprenticeship', 'school_leaver', 'graduate']","['customer_success', 'ops']",1,3,0
GLC038,Anstee & Ware Group Limited,Stonehouse,GL10,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/06001154,Companies House–listed employer with registered office in Stonehouse (accounts category: GROUP). Nature of business (SIC): 41100 - Development of building projects. Leaver routes vary — check careers pages and Find an Apprenticeship.,Anstee & Ware Group Limited Stonehouse Gloucestershire construction_green apprenticeship graduate school leaver 41100 - Development of building projects,anstee ware,seed,,,['construction_green'],"['apprenticeship', 'school_leaver', 'graduate']","['technician', 'field_ops', 'engineer_ops']",1,3,0
GLC039,Asb Leisure Limited,Gloucester,GL1,hospitality_retail,apprenticeship|school_leaver|graduate,sales|customer_success,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/11582610,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians). Leaver routes vary — check careers pages and Find an Apprenticeship.,Asb Leisure Limited Gloucester Gloucestershire hospitality_retail apprenticeship graduate school leaver 47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),asb leisure,seed,,,['hospitality_retail'],"['apprenticeship', 'school_leaver', 'graduate']","['sales', 'customer_success']",1,3,0
GLC040,Aurem Care (Bidco) Limited,Cheltenham,GL50,health_care,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/13734254,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 87300 - Residential care activities for the elderly and disabled. Leaver routes vary — check careers pages and Find an Apprenticeship.,Aurem Care (Bidco) Limited Cheltenham Gloucestershire health_care apprenticeship graduate school leaver 87300 - Residential care activities for the elderly and disabled,aurem care bidco,seed,,,['health_care'],"['apprenticeship', 'school_leaver', 'graduate']","['care', 'admin']",1,3,0
GLC041,Aurem Care Group Limited,Cheltenham,GL50,health_care,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/13732569,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 87300 - Residential care activities for the elderly and disabled. Leaver routes vary — check careers pages and Find an Apprenticeship.,Aurem Care Group Limited Cheltenham Gloucestershire health_care apprenticeship graduate school leaver 87300 - Residential care activities for the elderly and disabled,aurem care,seed,,,['health_care'],"['apprenticeship', 'school_leaver', 'graduate']","['care', 'admin']",1,3,0
GLC042,Bamford Collection Limited,Moreton-In-Marsh,GL56,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/03064811,Companies House–listed employer with registered office in Moreton-In-Marsh (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bamford Collection Limited Moreton-In-Marsh Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,bamford collection,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
GLC043,Barnwood Group Limited,Gloucestershire,GL4,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/03360908,Companies House–listed employer with registered office in Gloucestershire (accounts category: GROUP). Nature of business (SIC): 41201 - Construction of commercial buildings. Leaver routes vary — check careers pages and Find an Apprenticeship.,Barnwood Group Limited Gloucestershire Gloucestershire construction_green apprenticeship graduate school leaver 41201 - Construction of commercial buildings,barnwood,seed,,,['construction_green'],"['apprenticeship', 'school_leaver', 'graduate']","['technician', 'field_ops', 'engineer_ops']",1,3,0
GLC044,Barworks Limited,Gloucester,GL2,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/03794021,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 82110 - Combined office administrative service activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Barworks Limited Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 82110 - Combined office administrative service activities,barworks,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
GLC045,Bence Roofing Supplies Limited,Cheltenham,GL52,hospitality_retail,apprenticeship|school_leaver|graduate,sales|customer_success,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/08723834,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 46130 - Agents involved in the sale of timber and building materials. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bence Roofing Supplies Limited Cheltenham Gloucestershire hospitality_retail apprenticeship graduate school leaver 46130 - Agents involved in the sale of timber and building materials,bence roofing supplies,seed,,,['hospitality_retail'],"['apprenticeship', 'school_leaver', 'graduate']","['sales', 'customer_success']",1,3,0
GLC046,Benefact Trust Limited,Gloucester,GL3,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/01043742,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Benefact Trust Limited Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,benefact trust,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
GLC047,Berkhampstead School (Cheltenham) Trust Limited,Cheltenham,GL52,education_training,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/01136229,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 85200 - Primary education. Leaver routes vary — check careers pages and Find an Apprenticeship.,Berkhampstead School (Cheltenham) Trust Limited Cheltenham Gloucestershire education_training apprenticeship graduate school leaver 85200 - Primary education,berkhampstead school cheltenham trust,seed,,,['education_training'],"['apprenticeship', 'school_leaver', 'graduate']","['teaching_support', 'admin']",1,3,0
GLC048,Bf Inter Ltd,Cheltenham,GL53,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/10369765,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bf Inter Ltd Cheltenham Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,bf inter,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
GLC049,Bowmoor Topco Limited,Cheltenham,GL54,health_care|aerospace_manufacturing,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/11250968,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 32500 - Manufacture of medical and dental instruments and supplies. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bowmoor Topco Limited Cheltenham Gloucestershire health_care aerospace_manufacturing apprenticeship graduate school leaver 32500 - Manufacture of medical and dental instruments and supplies,bowmoor topco,seed,,,"['health_care', 'aerospace_manufacturing']","['apprenticeship', 'school_leaver', 'graduate']","['care', 'admin']",2,3,0
GLC050,Bowson Group Ltd,Cinderford,GL14,hospitality_retail,apprenticeship|school_leaver|graduate,sales|customer_success,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/11700797,Companies House–listed employer with registered office in Cinderford (accounts category: GROUP). Nature of business (SIC): 45112 - Sale of used cars and light motor vehicles. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bowson Group Ltd Cinderford Gloucestershire hospitality_retail apprenticeship graduate school leaver 45112 - Sale of used cars and light motor vehicles,bowson,seed,,,['hospitality_retail'],"['apprenticeship', 'school_leaver', 'graduate']","['sales', 'customer_success']",1,3,0
GLC051,Brewhouse & Kitchen Limited,Woodchester,GL5,hospitality_tourism,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/07769260,Companies House–listed employer with registered office in Woodchester (accounts category: GROUP). Nature of business (SIC): 56302 - Public houses and bars. Leaver routes vary — check careers pages and Find an Apprenticeship.,Brewhouse & Kitchen Limited Woodchester Gloucestershire hospitality_tourism apprenticeship graduate school leaver 56302 - Public houses and bars,brewhouse kitchen,seed,,,['hospitality_tourism'],"['apprenticeship', 'school_leaver', 'graduate']","['customer_success', 'ops']",1,3,0
GLC052,Brsk Limited,Tewkesbury,GL20,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://find-and-update.company-information.service.gov.uk/company/12792126,Companies House–listed employer with registered office in Tewkesbury (accounts category: GROUP). Nature of business (SIC): 61100 - Wired telecommunications activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Brsk Limited Tewkesbury Gloucestershire business_professional apprenticeship graduate school leaver 61100 - Wired telecommunications activities,brsk,seed,,,['business_professional'],"['apprenticeship', 'school_leaver', 'graduate']","['admin', 'finance', 'project_coord']",1,3,0
