company_id,name,town,postcode,sectors,entry_routes,role_families,size_band,priority_employer,hiring_signal,website,summary,profile_text,source
GLC013,Gloucestershire County Council,Gloucester,GL1,public_sector|construction_green|education_training,apprenticeship|graduate|school_leaver,admin|project_coord|analyst|field_ops|social,large,1,high,https://www.gloucestershire.gov.uk/jobs-and-careers,Local authority with digital social care environment highways and business support pathways.,Gloucestershire County Council public sector apprenticeships graduate schemes local government,
GLC014,University of Gloucestershire,Cheltenham,GL50,education_training|creative_events|cyber_digital,apprenticeship|graduate|internship|higher_apprenticeship,teaching_support|admin|software|content,large,1,high,https://www.glos.ac.uk,"University with teacher training (PGCE/QTS), education degrees, and creative business and computing graduate connections.",University of Gloucestershire teacher training PGCE QTS education teaching creative computing graduate jobs apprenticeships,
GLC015,Cheltenham Festivals,Cheltenham,GL50,creative_events|hospitality_tourism,internship|school_leaver|graduate,events|content|project_coord|customer_success,sme,1,medium,https://www.cheltenhamfestivals.com,Major cultural organisation offering events marketing hospitality and seasonal experience routes.,Cheltenham Festivals events marketing hospitality creative internships school leavers culture,
GLC016,Stagecoach West,Gloucestershire,GL1,business_professional,apprenticeship|school_leaver,customer_success|ops|admin|technician,large,0,medium,https://www.stagecoachbus.com,Transport operator with customer service engineering and apprenticeship opportunities.,Stagecoach West transport customer service engineering apprenticeships Gloucestershire,
GLC017,Superdry,Cheltenham,GL50,hospitality_retail|business_professional|creative_events,internship|graduate|school_leaver,sales|content|design|project_coord,large,1,medium,https://www.superdry.com,Fashion retail headquartered in Cheltenham with retail design and commercial pathways.,Superdry Cheltenham fashion retail design marketing graduate school leaver jobs,
GLC018,Ecotricity,Stroud,GL5,construction_green|business_professional,graduate|internship|apprenticeship,analyst|sales|project_coord|field_ops,medium,1,medium,https://www.ecotricity.co.uk,Green energy company with sustainability-focused commercial and technical roles.,Ecotricity Stroud green energy sustainability graduate jobs environment,
GLC019,Dowty Propellers,Staverton,GL2,aerospace_manufacturing,apprenticeship|graduate,engineer_ops|manufacturing|technician|quality,large,1,medium,https://www.dowty.com,Aerospace propeller systems manufacturer with engineering career pathways.,Dowty Propellers aerospace manufacturing engineering apprenticeships Gloucestershire,
GLC020,Ultra Electronics,Cheltenham corridor,GL50,aerospace_manufacturing|cyber_digital,apprenticeship|graduate,engineer_ops|cyber|software|technician,mixed,1,medium,https://www.ultra.group,Defence and electronics employer offering STEM entry routes in the county.,Ultra defence electronics engineering cyber apprenticeships Gloucestershire,
GLC021,Gloucestershire Schools & Early Years,County-wide,GL1,education_training,apprenticeship|school_leaver|graduate,teaching_support|care|admin,large,1,high,https://www.gloucestershire.gov.uk/education-and-families/,Gateway to Teaching Assistant early years and school support roles across Gloucestershire; stepping stone to teacher training.,Gloucestershire schools early years teaching assistant apprenticeship teacher training QTS education careers,
GLC022,Hilton (Gloucestershire hotels),Cheltenham / Gloucester,GL50,hospitality_tourism,apprenticeship|school_leaver,customer_success|ops|events,large,1,high,https://www.hilton.com,Hotel group with chef reception and front-of-house apprenticeship routes for hospitality careers.,Hilton hotel hospitality chef reception front of house apprenticeship Gloucestershire tourism,
GLC023,Greene King (Gloucestershire pubs & inns),County-wide,GL1,hospitality_tourism,apprenticeship|school_leaver,customer_success|ops,large,1,high,https://jobs.greeneking.co.uk,Pub hotel and inn operator offering chef bar and waiting apprenticeships across the county.,Greene King pub hotel inn chef hospitality apprenticeship Gloucestershire restaurants,
GLC024,Cotswold hospitality independents,Cotswolds / Cirencester,GL7,hospitality_tourism,apprenticeship|school_leaver|internship,customer_success|ops|events,mixed,1,medium,https://www.findapprenticeship.service.gov.uk,Independent hotels restaurants and inns in the Cotswolds regularly hiring hospitality apprentices.,Cotswold hotels restaurants inns hospitality apprenticeship chef waiting tourism Cirencester Cheltenham,
GLC025,Gloucestershire Construction & Trades,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|field_ops|engineer_ops|ops,large,1,high,https://www.findapprenticeship.service.gov.uk,Gateway to plumbing electrical bricklaying joinery scaffolding and groundworks apprenticeships with Gloucestershire contractors and housebuilders.,Gloucestershire construction trades plumbing electrician bricklayer carpenter scaffolder groundworker building services apprenticeship,
GLC026,Barratt Homes,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|field_ops|ops,large,1,high,https://www.barrattdevelopments.co.uk/careers,Major housebuilder with site trade apprenticeships including bricklaying joinery and groundworks.,Barratt Homes housebuilder construction bricklaying joinery groundworks apprenticeship Gloucestershire,
GLC027,Gloucestershire electrical & building services,County-wide,GL1,construction_green,apprenticeship|school_leaver,technician|engineer_ops|field_ops,mixed,1,high,https://www.findapprenticeship.service.gov.uk,Electrical installation maintenance and building-services employers offering electrotechnical apprenticeships across the county.,electrical installation electrician electrotechnical building services maintenance apprenticeship Gloucestershire,
GLC028,GCHQ,Cheltenham,GL51,cyber_digital|public_sector,apprenticeship|graduate|higher_apprenticeship|internship,cyber|software|analyst|data,large,1,high,https://www.gchq.gov.uk/careers,UK intelligence and security organisation based in Cheltenham; major cyber digital and STEM early-career routes for eligible applicants.,GCHQ Cheltenham cyber security intelligence digital apprenticeships graduates STEM careers public sector,
GLC029,CGI,Gloucester / Cheltenham corridor,GL1,cyber_digital|business_professional,apprenticeship|graduate|internship|higher_apprenticeship,software|cyber|analyst|project_coord,large,1,high,https://www.cgi.com/uk/en-gb/careers,Global IT and business consulting employer with a significant Gloucestershire footprint and digital graduate and apprenticeship pathways.,CGI Gloucestershire IT consulting software cyber digital apprenticeships graduates business technology,
GLC030,Gloucestershire Constabulary,County-wide,GL1,public_sector,apprenticeship|graduate|school_leaver,ops|admin|analyst|social,large,1,high,https://www.gloucestershire.police.uk/police-forces/gloucestershire-constabulary/areas/gloucestershire/about-us/careers/,County police force with police staff apprenticeships and graduate pathways into public service roles.,Gloucestershire Constabulary police public sector apprenticeships graduate careers community safety,
GLC031,Gloucestershire Health and Care NHS Foundation Trust,County-wide,GL1,health_care|public_sector,apprenticeship|school_leaver|graduate,care|admin|ops,large,1,high,https://www.ghc.nhs.uk/work-for-us/,NHS trust delivering community and mental health services with clinical support and apprenticeship routes.,Gloucestershire Health Care NHS community mental health apprenticeships care careers,
GLC032,Royal Agricultural University,Cirencester,GL7,agri_tech_food|education_training,apprenticeship|graduate|internship|school_leaver,teaching_support|field_ops|research_lab|business_dev,medium,1,medium,https://www.rau.ac.uk/,Specialist land-based university employer and talent pipeline into agri-food and rural business careers.,Royal Agricultural University Cirencester agri-tech education farming graduate apprenticeships,
GLC033,A D Burs Limited,Gloucester,GL2,health_care|aerospace_manufacturing,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://www.primadental.com,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 32500 - Manufacture of medical and dental instruments and supplies. Leaver routes vary — check careers pages and Find an Apprenticeship.,A D Burs Limited Gloucester Gloucestershire health_care aerospace_manufacturing apprenticeship graduate school leaver 32500 - Manufacture of medical and dental instruments and supplies,
GLC034,Abec (Group) Ltd,Tewkesbury,GL20,construction_green|business_professional,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.abec.co.uk,Companies House–listed employer with registered office in Tewkesbury (accounts category: GROUP). Nature of business (SIC): 64203 - Activities of construction holding companies. Leaver routes vary — check careers pages and Find an Apprenticeship.,Abec (Group) Ltd Tewkesbury Gloucestershire construction_green business_professional apprenticeship graduate school leaver 64203 - Activities of construction holding companies,
GLC035,Aceo Limited,Westbury-On-Severn,GL14,hospitality_tourism|hospitality_retail|agri_tech_food,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://www.aceo.co.uk,"Companies House–listed employer with registered office in Westbury-On-Severn (accounts category: GROUP). Nature of business (SIC): 11010 - Distilling, rectifying and blending of spirits. Leaver routes vary — check careers pages and Find an Apprenticeship.","Aceo Limited Westbury-On-Severn Gloucestershire hospitality_tourism hospitality_retail agri_tech_food apprenticeship graduate school leaver 11010 - Distilling, rectifying and blending of spirits",
GLC036,Allstone Sands Gravels Aggregates Trading Co. Ltd.,Gloucester,GL1,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.allstonespeedyskips.co.uk,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 08120 - Operation of gravel and sand pits; mining of clays and kaolin. Leaver routes vary — check careers pages and Find an Apprenticeship.,Allstone Sands Gravels Aggregates Trading Co. Ltd. Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 08120 - Operation of gravel and sand pits; mining of clays and kaolin,
GLC037,Anderbury Limited,Cheltenham,GL51,hospitality_tourism,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://www.anderburyhotels.co.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 55100 - Hotels and similar accommodation. Leaver routes vary — check careers pages and Find an Apprenticeship.,Anderbury Limited Cheltenham Gloucestershire hospitality_tourism apprenticeship graduate school leaver 55100 - Hotels and similar accommodation,
GLC038,Anstee & Ware Group Limited,Stonehouse,GL10,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.quartzelec.com,Companies House–listed employer with registered office in Stonehouse (accounts category: GROUP). Nature of business (SIC): 41100 - Development of building projects. Leaver routes vary — check careers pages and Find an Apprenticeship.,Anstee & Ware Group Limited Stonehouse Gloucestershire construction_green apprenticeship graduate school leaver 41100 - Development of building projects,
GLC039,Asb Leisure Limited,Gloucester,GL1,hospitality_retail,apprenticeship|school_leaver|graduate,sales|customer_success,large,1,medium,https://www.270climbing.com,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians). Leaver routes vary — check careers pages and Find an Apprenticeship.,Asb Leisure Limited Gloucester Gloucestershire hospitality_retail apprenticeship graduate school leaver 47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),
GLC040,Aurem Care (Bidco) Limited,Cheltenham,GL50,health_care,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://www.auremcare.com,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 87300 - Residential care activities for the elderly and disabled. Leaver routes vary — check careers pages and Find an Apprenticeship.,Aurem Care (Bidco) Limited Cheltenham Gloucestershire health_care apprenticeship graduate school leaver 87300 - Residential care activities for the elderly and disabled,
GLC041,Aurem Care Group Limited,Cheltenham,GL50,health_care,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://www.auremcare.com,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 87300 - Residential care activities for the elderly and disabled. Leaver routes vary — check careers pages and Find an Apprenticeship.,Aurem Care Group Limited Cheltenham Gloucestershire health_care apprenticeship graduate school leaver 87300 - Residential care activities for the elderly and disabled,
GLC042,Bamford Collection Limited,Moreton-In-Marsh,GL56,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.bamfordcollection.com,Companies House–listed employer with registered office in Moreton-In-Marsh (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bamford Collection Limited Moreton-In-Marsh Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,
GLC043,Barnwood Group Limited,Gloucestershire,GL4,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.barnwood.co.uk,Companies House–listed employer with registered office in Gloucestershire (accounts category: GROUP). Nature of business (SIC): 41201 - Construction of commercial buildings. Leaver routes vary — check careers pages and Find an Apprenticeship.,Barnwood Group Limited Gloucestershire Gloucestershire construction_green apprenticeship graduate school leaver 41201 - Construction of commercial buildings,
GLC044,Barworks Limited,Gloucester,GL2,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.barworks.co.uk,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 82110 - Combined office administrative service activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Barworks Limited Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 82110 - Combined office administrative service activities,
GLC045,Bence Roofing Supplies Limited,Cheltenham,GL52,hospitality_retail,apprenticeship|school_leaver|graduate,sales|customer_success,large,1,medium,https://www.bence.co.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 46130 - Agents involved in the sale of timber and building materials. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bence Roofing Supplies Limited Cheltenham Gloucestershire hospitality_retail apprenticeship graduate school leaver 46130 - Agents involved in the sale of timber and building materials,
GLC046,Benefact Trust Limited,Gloucester,GL3,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.benefacttrust.co.uk,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Benefact Trust Limited Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,
GLC047,Berkhampstead School (Cheltenham) Trust Limited,Cheltenham,GL52,education_training,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://www.berkhampsteadschool.co.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 85200 - Primary education. Leaver routes vary — check careers pages and Find an Apprenticeship.,Berkhampstead School (Cheltenham) Trust Limited Cheltenham Gloucestershire education_training apprenticeship graduate school leaver 85200 - Primary education,
GLC049,Bowmoor Topco Limited,Cheltenham,GL54,health_care|aerospace_manufacturing,apprenticeship|school_leaver|graduate,care|admin,large,1,medium,https://www.summitmedicalgroup.com,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 32500 - Manufacture of medical and dental instruments and supplies. Leaver routes vary — check careers pages and Find an Apprenticeship.,Bowmoor Topco Limited Cheltenham Gloucestershire health_care aerospace_manufacturing apprenticeship graduate school leaver 32500 - Manufacture of medical and dental instruments and supplies,
GLC051,Brewhouse & Kitchen Limited,Woodchester,GL5,hospitality_tourism,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://www.brewhouseandkitchen.com,Companies House–listed employer with registered office in Woodchester (accounts category: GROUP). Nature of business (SIC): 56302 - Public houses and bars. Leaver routes vary — check careers pages and Find an Apprenticeship.,Brewhouse & Kitchen Limited Woodchester Gloucestershire hospitality_tourism apprenticeship graduate school leaver 56302 - Public houses and bars,
GLC052,Brsk Limited,Tewkesbury,GL20,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.brsk.co.uk,Companies House–listed employer with registered office in Tewkesbury (accounts category: GROUP). Nature of business (SIC): 61100 - Wired telecommunications activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Brsk Limited Tewkesbury Gloucestershire business_professional apprenticeship graduate school leaver 61100 - Wired telecommunications activities,
GLC053,Calcot Health & Leisure Company Limited,Gloucestershire,GL8,hospitality_tourism|creative_events,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://www.calcot.co,Companies House–listed employer with registered office in Gloucestershire (accounts category: GROUP). Nature of business (SIC): 55100 - Hotels and similar accommodation. Leaver routes vary — check careers pages and Find an Apprenticeship.,Calcot Health & Leisure Company Limited Gloucestershire Gloucestershire hospitality_tourism creative_events apprenticeship graduate school leaver 55100 - Hotels and similar accommodation,
GLC054,Camargue Group Limited,Gloucestershire,GL50,agri_tech_food|business_professional,apprenticeship|school_leaver|graduate,field_ops|technician,large,1,medium,https://www.camargue.uk,Companies House–listed employer with registered office in Gloucestershire (accounts category: GROUP). Nature of business (SIC): 70210 - Public relations and communications activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Camargue Group Limited Gloucestershire Gloucestershire agri_tech_food business_professional apprenticeship graduate school leaver 70210 - Public relations and communications activities,
GLC055,Capfun UK Limited,Gloucester,GL2,hospitality_tourism,apprenticeship|school_leaver|graduate,customer_success|ops,large,1,medium,https://www.capfun.co.uk,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 55209 - Other holiday and other collective accommodation. Leaver routes vary — check careers pages and Find an Apprenticeship.,Capfun UK Limited Gloucester Gloucestershire hospitality_tourism apprenticeship graduate school leaver 55209 - Other holiday and other collective accommodation,
GLC056,Castellum Consortium Ltd,Stonehouse,GL10,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.castellum.co.uk,Companies House–listed employer with registered office in Stonehouse (accounts category: GROUP). Nature of business (SIC): 41201 - Construction of commercial buildings. Leaver routes vary — check careers pages and Find an Apprenticeship.,Castellum Consortium Ltd Stonehouse Gloucestershire construction_green apprenticeship graduate school leaver 41201 - Construction of commercial buildings,
GLC058,Cheltenham Borough Homes Limited,Cheltenham,GL50,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.cbh.org.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Cheltenham Borough Homes Limited Cheltenham Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,
GLC059,Cheltenham Lido Limited,Cheltenham,GL53,agri_tech_food|creative_events,apprenticeship|school_leaver|graduate,field_ops|technician,large,1,medium,https://www.sandfordparkslido.org.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 91030 - Operation of historical sites and buildings and similar visitor attractions. Leaver routes vary — check careers pages and Find an Apprenticeship.,Cheltenham Lido Limited Cheltenham Gloucestershire agri_tech_food creative_events apprenticeship graduate school leaver 91030 - Operation of historical sites and buildings and similar visitor attractions,
GLC060,Chipping Campden School,Chipping Campden,GL55,education_training,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://www.campden.school,Companies House–listed employer with registered office in Chipping Campden (accounts category: GROUP). Nature of business (SIC): 85310 - General secondary education. Leaver routes vary — check careers pages and Find an Apprenticeship.,Chipping Campden School Chipping Campden Gloucestershire education_training apprenticeship graduate school leaver 85310 - General secondary education,
GLC061,Cleeve School,Cheltenham,GL52,education_training,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://www.cleeveschool.net,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 85310 - General secondary education. Leaver routes vary — check careers pages and Find an Apprenticeship.,Cleeve School Cheltenham Gloucestershire education_training apprenticeship graduate school leaver 85310 - General secondary education,
GLC062,Commercial Corporate Services Limited,Cheltenham,GL53,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.commercial.co.uk,Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 82990 - Other business support service activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Commercial Corporate Services Limited Cheltenham Gloucestershire business_professional apprenticeship graduate school leaver 82990 - Other business support service activities n.e.c.,
GLC063,Corinium Education Trust,Cirencester,GL7,education_training,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://www.coriniumeducationtrust.net,Companies House–listed employer with registered office in Cirencester (accounts category: GROUP). Nature of business (SIC): 85100 - Pre-primary education. Leaver routes vary — check careers pages and Find an Apprenticeship.,Corinium Education Trust Cirencester Gloucestershire education_training apprenticeship graduate school leaver 85100 - Pre-primary education,
GLC064,Cotswold Lakes Trust,Cirencester,GL7,education_training|hospitality_tourism,apprenticeship|school_leaver|graduate,teaching_support|admin,large,1,medium,https://www.cotswoldlakestrust.org,Companies House–listed employer with registered office in Cirencester (accounts category: GROUP). Nature of business (SIC): 85590 - Other education n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Cotswold Lakes Trust Cirencester Gloucestershire education_training hospitality_tourism apprenticeship graduate school leaver 85590 - Other education n.e.c.,
GLC065,Cripps Barn Group Limited,Cirencester,GL7,cyber_digital|hospitality_tourism,apprenticeship|school_leaver|graduate,software|cyber|analyst,large,1,medium,https://www.crippsandco.com,Companies House–listed employer with registered office in Cirencester (accounts category: GROUP). Nature of business (SIC): 56210 - Event catering activities. Leaver routes vary — check careers pages and Find an Apprenticeship.,Cripps Barn Group Limited Cirencester Gloucestershire cyber_digital hospitality_tourism apprenticeship graduate school leaver 56210 - Event catering activities,
GLC067,Dairy Partners Limited,Stonehouse,GL10,agri_tech_food,apprenticeship|school_leaver|graduate,field_ops|technician,large,1,medium,https://www.dairypartners.co.uk,Companies House–listed employer with registered office in Stonehouse (accounts category: GROUP). Nature of business (SIC): 10512 - Butter and cheese production. Leaver routes vary — check careers pages and Find an Apprenticeship.,Dairy Partners Limited Stonehouse Gloucestershire agri_tech_food apprenticeship graduate school leaver 10512 - Butter and cheese production,
GLC070,Earnz PLC,Cheltenham,GL50,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.earnzplc.com,"Companies House–listed employer with registered office in Cheltenham (accounts category: GROUP). Nature of business (SIC): 74909 - Other professional, scientific and technical activities n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.","Earnz PLC Cheltenham Gloucestershire business_professional apprenticeship graduate school leaver 74909 - Other professional, scientific and technical activities n.e.c.",
GLC071,Ecclesiastical Insurance Office Public Limited Company,Gloucester,GL3,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.ecclesiastical.com,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 65120 - Non-life insurance. Leaver routes vary — check careers pages and Find an Apprenticeship.,Ecclesiastical Insurance Office Public Limited Company Gloucester Gloucestershire business_professional apprenticeship graduate school leaver 65120 - Non-life insurance,
GLC072,Ecotricity Solar (Borrower) Limited,Stroud,GL5,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.ecotricity.co.uk,Companies House–listed employer with registered office in Stroud (accounts category: GROUP). Nature of business (SIC): 35110 - Production of electricity. Leaver routes vary — check careers pages and Find an Apprenticeship.,Ecotricity Solar (Borrower) Limited Stroud Gloucestershire construction_green apprenticeship graduate school leaver 35110 - Production of electricity,
GLC073,Elmbridge Pump Company Ltd,Gloucester,GL2,aerospace_manufacturing,apprenticeship|school_leaver|graduate,engineer_ops|manufacturing|technician,large,1,medium,https://www.elmbridgepumps.com,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 28131 - Manufacture of pumps. Leaver routes vary — check careers pages and Find an Apprenticeship.,Elmbridge Pump Company Ltd Gloucester Gloucestershire aerospace_manufacturing apprenticeship graduate school leaver 28131 - Manufacture of pumps,
GLC074,Evgh Limited,Gloucester,GL2,construction_green,apprenticeship|school_leaver|graduate,technician|field_ops|engineer_ops,large,1,medium,https://www.ecovision.co.uk,Companies House–listed employer with registered office in Gloucester (accounts category: GROUP). Nature of business (SIC): 35110 - Production of electricity. Leaver routes vary — check careers pages and Find an Apprenticeship.,Evgh Limited Gloucester Gloucestershire construction_green apprenticeship graduate school leaver 35110 - Production of electricity,
GLC077,Forest Of Dean Railway Limited,Lydney,GL15,creative_events,apprenticeship|school_leaver|graduate,content|events,large,1,medium,https://www.deanforestrailway.co.uk,"Companies House–listed employer with registered office in Lydney (accounts category: GROUP). Nature of business (SIC): 49100 - Passenger rail transport, interurban. Leaver routes vary — check careers pages and Find an Apprenticeship.","Forest Of Dean Railway Limited Lydney Gloucestershire creative_events apprenticeship graduate school leaver 49100 - Passenger rail transport, interurban",
GLC078,Friends Of Westonbirt Arboretum,Arboretum Tetbury,GL8,business_professional,apprenticeship|school_leaver|graduate,admin|finance|project_coord,large,1,medium,https://www.fowa.org.uk,Companies House–listed employer with registered office in Arboretum Tetbury (accounts category: GROUP). Nature of business (SIC): 94990 - Activities of other membership organizations n.e.c.. Leaver routes vary — check careers pages and Find an Apprenticeship.,Friends Of Westonbirt Arboretum Arboretum Tetbury Gloucestershire business_professional apprenticeship graduate school leaver 94990 - Activities of other membership organizations n.e.c.,
