cred_id,title,provider,town,region,level,course_type_label,sectors,summary,website,elcas_status,profile_text,source,source_date,role_families
MC-NCS-10000878-8e5e140e-d9f0-4b4e-8bd4-fbb14162081f,NOCN Level 2 NVQ Certificate in Plant Operations Telehandler (Construction) - Fork-lift Trucks (301351) Continuers,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"NOCN Level 2 NVQ Certificate in Plant Operations Telehandler (Construction) - Fork-lift Trucks (301351) Continuers | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
MC-NCS-10000878-e3c9eb22-83c7-4d4d-a3ef-6c74ffa2fff7,NOCN Level 2 NVQ Diploma in Plant Operations (Construction) - Excavating (319273),UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"NOCN Level 2 NVQ Diploma in Plant Operations (Construction) - Excavating (319273) | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
MC-NCS-10040392-d8ec5292-4838-4ed0-b79b-1fdf46cb575e,NVQ Certificate in Curtain Wall Installation,Glass & Fenestration Training Solutions,Gloucester,gloucestershire,See provider,NVQ,business_professional,"The aim of this qualification is to confirm that the candidate has the skills and knowledge to install Curtain Wall systems on site.
It is not expected that all curtain wall installers will carry out Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.gftsltd.co.uk,check_on_elcas,"NVQ Certificate in Curtain Wall Installation | Glass & Fenestration Training Solutions | Gloucester |  | NVQ |  | The aim of this qualification is to confirm that the candidate has the skills and knowledge to install Curtain Wall systems on site.
It is not expected that al | business_professional",ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10056770-b712b0a4-7255-48d8-8ac2-3f20ad0d0124,NVQ Diploma in Beauty Therapy General,CEDARS TRAINING ACADEMY LIMITED,Gloucester,gloucestershire,See provider,NVQ,business_professional,Anyone considering a career as a beauty therapist. This course will suit you if you are new to beauty therapy or you have limited experience and just basic knowledge and skills. It could help you get  Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,http://www.ibha.co.uk/What-We-Do/Qualifications/Level-2-Diploma-in-Beauty-Therapy-General,check_on_elcas,NVQ Diploma in Beauty Therapy General | CEDARS TRAINING ACADEMY LIMITED | Gloucester |  | NVQ |  | Anyone considering a career as a beauty therapist. This course will suit you if you are new to beauty therapy or you have limited experience and just basic know | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10052473-64a0c1a8-6a37-4129-8200-76974c404a4d,NVQ Diploma in Decorative Finishing and Industrial Painting Occupations (Construction),Tendean,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Oxfordshire, Surrey, Essex, Kent, Wiltshir Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.tendean.com,check_on_elcas,"NVQ Diploma in Decorative Finishing and Industrial Painting Occupations (Construction) | Tendean | Gloucestershire |  | NVQ |  | You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Ox | business_professional",ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10056770-b123b406-c523-425f-9e37-0f629180886c,NVQ Diploma in Hairdressing,CEDARS TRAINING ACADEMY LIMITED,Gloucester,gloucestershire,See provider,NVQ,business_professional,"The Level 2 NVQ Diploma in Hairdressing is a job ready qualification based on National Occupational Standards (NOS). This qualification will provide you with the knowledge, understanding and skills to Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.ibha.co.uk/What-We-Do/Qualifications/Level-2-Diploma-in-Hairdressing,check_on_elcas,NVQ Diploma in Hairdressing | CEDARS TRAINING ACADEMY LIMITED | Gloucester |  | NVQ |  | The Level 2 NVQ Diploma in Hairdressing is a job ready qualification based on National Occupational Standards (NOS). This qualification will provide you with th | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10056770-e8435891-f4b1-414c-989a-cbdaa368a862,NVQ Diploma in Nail Services,CEDARS TRAINING ACADEMY LIMITED,Gloucester,gloucestershire,See provider,NVQ,business_professional,Anyone considering a career as a beauty therapist. This course will suit you if you are new to beauty and nails or you have limited experience and just basic knowledge and skills. It could help you ge Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://www.cedarstrainingacademy.co.uk,check_on_elcas,NVQ Diploma in Nail Services | CEDARS TRAINING ACADEMY LIMITED | Gloucester |  | NVQ |  | Anyone considering a career as a beauty therapist. This course will suit you if you are new to beauty and nails or you have limited experience and just basic kn | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10030802-561c5e51-8173-4c57-b815-d232b6b621ed,NVQ Diploma in Occupational Work Supervision (Construction),THE CONSTRUCTION SKILLS PEOPLE LTD,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,The course is aimed for individuals already working in the construction sector in a foreman or supervisory role.  The programme is delivered at the learners place of employment over a period of approx Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://constructionskillspeople.com/courses/l3-nvq-diploma-occupational-work-supervision-construction/,check_on_elcas,NVQ Diploma in Occupational Work Supervision (Construction) | THE CONSTRUCTION SKILLS PEOPLE LTD | Gloucestershire |  | NVQ |  | The course is aimed for individuals already working in the construction sector in a foreman or supervisory role.  The programme is delivered at the learners pla | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10052473-b47e3ec6-238e-40b0-924a-0b4195c4c98e,NVQ Diploma in Plumbing and Heating,Tendean,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Oxfordshire, Surrey, Essex, Kent, Wiltshir Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.tendean.com,check_on_elcas,"NVQ Diploma in Plumbing and Heating | Tendean | Gloucestershire |  | NVQ |  | You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Ox | business_professional",ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10052473-90bbf5c4-61b3-499d-9b78-4194e7550898,NVQ Diploma in Trowel Occupations (Construction),Tendean,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Oxfordshire, Surrey, Essex, Kent, Wiltshir Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.tendean.com,check_on_elcas,"NVQ Diploma in Trowel Occupations (Construction) | Tendean | Gloucestershire |  | NVQ |  | You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Ox | business_professional",ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10052473-7efebf80-64e8-4986-8ce3-9a7031cd83d4,NVQ Diploma in Wood Occupations (Construction),Tendean,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Oxfordshire, Surrey, Essex, Kent, Wiltshir Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://www.tendean.com,check_on_elcas,"NVQ Diploma in Wood Occupations (Construction) | Tendean | Gloucestershire |  | NVQ |  | You must be aged over 19 years of age, employed or self employed in the industry and living in Hull, Cambridge, Hertfordshire, Bedfordshire, Buckinghamshire, Ox | business_professional",ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10036143-43e86e10-e2fc-414e-af16-eeab450521e1,VTCT NVQ Diploma in Hairdressing L3,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,Filton,bristol,See provider,NVQ,business_professional,Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then formal qualifications that are a prerequisi Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://sgscol.ac.uk,check_on_elcas,VTCT NVQ Diploma in Hairdressing L3 | SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE | Filton |  | NVQ |  | Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then for | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10006130-19345709-f509-43dc-bdd8-e0e13c678373,*ATL3 - Law and Legal Work Level 2 BTEC Certificate (=1),ST BRENDAN'S SIXTH FORM COLLEGE,Bristol,bristol,See provider,BTEC,public_sector,"This BTEC Level 2 course provides a good foundation for students wanting to access Level 3 BTEC Law. The course will give a good overview of the legal system, police powers and aspects of criminal law Type: BTEC Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.stbrn.ac.uk/find/courses/law-2/,check_on_elcas,"*ATL3 - Law and Legal Work Level 2 BTEC Certificate (=1) | ST BRENDAN'S SIXTH FORM COLLEGE | Bristol |  | BTEC |  | This BTEC Level 2 course provides a good foundation for students wanting to access Level 3 BTEC Law. The course will give a good overview of the legal system, p | public_sector",ncs_course_directory,2026-06,admin|care|project_support
MC-NCS-10000446-9349ffd2-2fec-4bd9-8767-d71a594f5f1b,AAT AQ2016 Advanced Diploma - Indirect Tax (IDRX),Kaplan Talent Partners,"Temple Quay, Avon St",bristol,See provider,Diploma,business_professional,"Kaplan's Advanced Diploma in Accounting covers a range of complex accounting tasks, including maintaining cost accounting records and the preparation of reports and returns. You'll learn and master a  Type: Diploma Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",http://financial.kaplan.co.uk/TrainingandQuals/Accountancy/AAT/Pages/default.aspx,check_on_elcas,"AAT AQ2016 Advanced Diploma - Indirect Tax (IDRX) | Kaplan Talent Partners | Temple Quay, Avon St |  | Diploma |  | Kaplan's Advanced Diploma in Accounting covers a range of complex accounting tasks, including maintaining cost accounting records and the preparation of reports | business_professional",ncs_course_directory,2026-06,finance|admin
MC-NCS-10001467-05ccaf9b-7c35-4c2f-8da5-146a64d13432,AAT Accounting - Level 3,CITY OF BRISTOL COLLEGE,Bristol,bristol,See provider,Free Courses for Jobs,business_professional,The AAT qualification is universally respected and internationally recognised for providing students with extensive practical accountancy training. The Level 3 Diploma extends the book-keeping knowled Type: Free Courses for Jobs Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,http://www.cityofbristol.ac.uk/courses/business-professional-services/financial-services/aat-accounting-level-3,check_on_elcas,AAT Accounting - Level 3 | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | The AAT qualification is universally respected and internationally recognised for providing students with extensive practical accountancy training. The Level 3  | business_professional,ncs_course_directory,2026-06,finance|admin
MC-NCS-10036143-91aefa53-60a8-4a4f-8a96-b39b645537e2,AQA A Level Business L3 - Yr 1,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,Filton,bristol,See provider,Free Courses for Jobs,business_professional,Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then formal qualifications that are a prerequisi Type: Free Courses for Jobs Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://sgscol.ac.uk,check_on_elcas,AQA A Level Business L3 - Yr 1 | SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE | Filton |  | Free Courses for Jobs |  | Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then for | business_professional,ncs_course_directory,2026-06,admin|project_support
MC-NCS-10036143-a564ab6c-0975-4e36-b283-dece1c5e8ef1,AQA A Level Economics L3 - Yr 1,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,Filton,bristol,See provider,Free Courses for Jobs,business_professional,Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then formal qualifications that are a prerequisi Type: Free Courses for Jobs Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://sgscol.ac.uk,check_on_elcas,AQA A Level Economics L3 - Yr 1 | SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE | Filton |  | Free Courses for Jobs |  | Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then for | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10036143-95ead1f0-4805-48cf-b234-e301539d3cc7,AQA A Level Psychology L3 - Yr 1,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,Filton,bristol,See provider,Free Courses for Jobs,business_professional,Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then formal qualifications that are a prerequisi Type: Free Courses for Jobs Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://sgscol.ac.uk,check_on_elcas,AQA A Level Psychology L3 - Yr 1 | SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE | Filton |  | Free Courses for Jobs |  | Most full-time courses at SGS are for learners aged 16-18 with some provision available for those aged 14 plus on request.  If you are aged 19 and over then for | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
