leaver_id,interest_sectors,target_sectors,dominant_riasec,r,i,a,s,e,c,source,cohort,sample_weight,persona_seed
glos_hands-on_maker_9,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3366,0.1665,0.0487,0.0993,0.1234,0.2254,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_people_&_care_0,education_training|health_care|public_sector,education_training|health_care|public_sector,Social|Conventional,0.1202,0.1295,0.1094,0.3118,0.1292,0.2,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_1,education_training|health_care,education_training|health_care,Social|Conventional,0.0964,0.1194,0.0848,0.3346,0.1313,0.2336,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_2,education_training|public_sector,education_training|public_sector,Social|Conventional,0.1125,0.1173,0.1297,0.2908,0.1481,0.2015,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_3,health_care,health_care,Social|Conventional,0.1393,0.1286,0.087,0.2943,0.1405,0.2104,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_4,education_training|health_care|public_sector,education_training|health_care|public_sector,Social|Conventional,0.1255,0.1513,0.0845,0.2833,0.1276,0.2279,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_5,public_sector,public_sector,Social|Conventional,0.1186,0.1474,0.0924,0.3241,0.1299,0.1875,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_6,education_training|health_care|public_sector,education_training|health_care|public_sector,Social|Conventional,0.1281,0.1241,0.1166,0.2853,0.114,0.2321,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_7,education_training|health_care|public_sector,education_training|health_care|public_sector,Social|Conventional,0.1266,0.1363,0.1139,0.3045,0.1423,0.1764,glos_priors,synthetic_glos,3.5,People & Care
glos_people_&_care_9,education_training|health_care|public_sector,education_training|health_care|public_sector,Social|Conventional,0.1166,0.1196,0.1027,0.3035,0.151,0.2066,glos_priors,synthetic_glos,3.5,People & Care
glos_creative_/_commercial_0,business_professional|creative_events|hospitality_retail|hospitality_tourism,business_professional|creative_events|hospitality_retail|hospitality_tourism,Artistic|Enterprising,0.0666,0.1145,0.2807,0.1611,0.2374,0.1398,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_1,creative_events|hospitality_retail|hospitality_tourism,creative_events|hospitality_retail|hospitality_tourism,Artistic|Enterprising,0.0781,0.1536,0.2915,0.1344,0.2368,0.1056,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_3,creative_events,creative_events,Artistic|Enterprising,0.0987,0.1165,0.2445,0.1315,0.2937,0.115,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_5,business_professional|creative_events|hospitality_tourism,business_professional|creative_events|hospitality_tourism,Artistic|Enterprising,0.0731,0.1175,0.255,0.1555,0.2549,0.144,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_6,business_professional,business_professional,Artistic|Enterprising,0.0822,0.1284,0.2626,0.1545,0.2423,0.13,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_7,business_professional,business_professional,Artistic|Enterprising,0.0777,0.1072,0.288,0.1707,0.242,0.1145,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_8,business_professional|creative_events|hospitality_tourism,business_professional|creative_events|hospitality_tourism,Artistic|Enterprising,0.095,0.1168,0.2702,0.1204,0.259,0.1387,glos_priors,synthetic_glos,3.5,Creative / Commercial
glos_creative_/_commercial_9,creative_events,creative_events,Artistic|Enterprising,0.0697,0.1216,0.2739,0.1509,0.2517,0.1321,glos_priors,synthetic_glos,3.5,Creative / Commercial
bridge_receptionist_0,aerospace_manufacturing|business_professional|public_sector,aerospace_manufacturing|business_professional|public_sector,Conventional|Social,0.075,0.1331,0.0516,0.2544,0.1941,0.2919,onet_bridge,synthetic_occupation,0.75,
bridge_accountant_1,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.0798,0.2589,0.0312,0.1414,0.1577,0.331,onet_bridge,synthetic_occupation,0.75,
bridge_ta_2,business_professional|health_care|hospitality_tourism,business_professional|health_care|hospitality_tourism,Social|Conventional,0.1198,0.1237,0.1473,0.2663,0.1208,0.2221,onet_bridge,synthetic_occupation,0.75,
bridge_business_admin_4,business_professional|creative_events|hospitality_tourism,business_professional|creative_events|hospitality_tourism,Conventional|Social,0.0702,0.1433,0.11,0.228,0.1779,0.2706,onet_bridge,synthetic_occupation,0.75,
bridge_cad_tech_5,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1341,0.2641,0.2232,0.0674,0.081,0.2302,onet_bridge,synthetic_occupation,0.75,
bridge_cad_tech_6,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1322,0.2395,0.238,0.0986,0.0524,0.2393,onet_bridge,synthetic_occupation,0.75,
bridge_insurance_7,business_professional|hospitality_retail,business_professional|hospitality_retail,Conventional|Enterprising,0.1053,0.0822,0.0738,0.2126,0.2481,0.2781,onet_bridge,synthetic_occupation,0.75,
bridge_call_centre_8,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Enterprising|Conventional,0.0876,0.0751,0.1091,0.2267,0.273,0.2285,onet_bridge,synthetic_occupation,0.75,
bridge_hca_10,health_care,health_care,Social|Conventional,0.1521,0.1333,0.0842,0.2789,0.1385,0.2131,onet_bridge,synthetic_occupation,0.75,
bridge_biotech_11,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1654,0.3383,0.082,0.0825,0.1253,0.2064,onet_bridge,synthetic_occupation,0.75,
bridge_sales_assoc_12,business_professional|hospitality_retail,business_professional|hospitality_retail,Enterprising|Conventional,0.0804,0.0651,0.0804,0.2265,0.3099,0.2377,onet_bridge,synthetic_occupation,0.75,
bridge_lab_tech_13,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1287,0.2842,0.082,0.1298,0.1125,0.2628,onet_bridge,synthetic_occupation,0.75,
bridge_security_guard_14,aerospace_manufacturing|business_professional|hospitality_retail,aerospace_manufacturing|business_professional|hospitality_retail,Realistic|Conventional,0.2266,0.0999,0.0663,0.1943,0.1868,0.2262,onet_bridge,synthetic_occupation,0.75,
bridge_network_tech_15,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.1602,0.264,0.0378,0.0671,0.1173,0.3537,onet_bridge,synthetic_occupation,0.75,
bridge_agri_tech_16,aerospace_manufacturing|construction_green|creative_events,aerospace_manufacturing|construction_green|creative_events,Realistic|Investigative,0.2477,0.2327,0.0797,0.1521,0.1239,0.164,onet_bridge,synthetic_occupation,0.75,
bridge_research_asst_17,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.0639,0.2664,0.1455,0.2091,0.0735,0.2416,onet_bridge,synthetic_occupation,0.75,
bridge_drone_op_18,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Investigative,0.2553,0.2405,0.0662,0.1113,0.1182,0.2086,onet_bridge,synthetic_occupation,0.75,
bridge_logistics_19,business_professional,business_professional,Conventional|Enterprising,0.1586,0.1654,0.0714,0.1358,0.2219,0.2468,onet_bridge,synthetic_occupation,0.75,
bridge_sales_assoc_20,business_professional|hospitality_retail,business_professional|hospitality_retail,Enterprising|Social,0.1294,0.0762,0.1305,0.2185,0.2486,0.1967,onet_bridge,synthetic_occupation,0.75,
bridge_food_sci_21,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1386,0.3005,0.1182,0.0928,0.1224,0.2274,onet_bridge,synthetic_occupation,0.75,
bridge_agri_tech_22,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.2586,0.2116,0.0441,0.1223,0.1409,0.2225,onet_bridge,synthetic_occupation,0.75,
bridge_env_tech_23,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.171,0.2451,0.098,0.144,0.1336,0.2084,onet_bridge,synthetic_occupation,0.75,
bridge_business_admin_25,business_professional|education_training|health_care,business_professional|education_training|health_care,Conventional|Social,0.0515,0.1315,0.0736,0.2099,0.1969,0.3365,onet_bridge,synthetic_occupation,0.75,
bridge_marketing_26,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Enterprising|Investigative,0.0598,0.1805,0.1796,0.1716,0.2431,0.1654,onet_bridge,synthetic_occupation,0.75,
bridge_estate_agent_27,business_professional|cyber_digital|hospitality_retail,business_professional|cyber_digital|hospitality_retail,Enterprising|Conventional,0.0932,0.0962,0.0606,0.186,0.3542,0.2098,onet_bridge,synthetic_occupation,0.75,
bridge_museum_28,business_professional|education_training|public_sector,business_professional|education_training|public_sector,Artistic|Conventional,0.087,0.1559,0.2257,0.1809,0.1396,0.2109,onet_bridge,synthetic_occupation,0.75,
bridge_insurance_29,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Enterprising|Conventional,0.0418,0.1086,0.1182,0.19,0.3143,0.2272,onet_bridge,synthetic_occupation,0.75,
bridge_sustainability_officer_30,business_professional|creative_events|cyber_digital,business_professional|creative_events|cyber_digital,Investigative|Conventional,0.1242,0.2318,0.1108,0.1575,0.1682,0.2076,onet_bridge,synthetic_occupation,0.75,
bridge_site_supervisor_34,aerospace_manufacturing|construction_green|hospitality_retail,aerospace_manufacturing|construction_green|hospitality_retail,Conventional|Enterprising,0.2024,0.1398,0.0882,0.1425,0.2051,0.2219,onet_bridge,synthetic_occupation,0.75,
bridge_bar_staff_35,business_professional|hospitality_retail,business_professional|hospitality_retail,Social|Enterprising,0.16,0.0534,0.1537,0.2506,0.2222,0.16,onet_bridge,synthetic_occupation,0.75,
bridge_biomed_eng_38,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1814,0.3421,0.0698,0.1006,0.0994,0.2067,onet_bridge,synthetic_occupation,0.75,
bridge_cloud_eng_39,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.0941,0.3156,0.0783,0.1257,0.1235,0.2628,onet_bridge,synthetic_occupation,0.75,
bridge_biomed_eng_41,agri_tech_food|cyber_digital|health_care,agri_tech_food|cyber_digital|health_care,Investigative|Conventional,0.1788,0.2823,0.088,0.1546,0.0919,0.2043,onet_bridge,synthetic_occupation,0.75,
bridge_civil_servant_42,business_professional|health_care|hospitality_tourism,business_professional|health_care|hospitality_tourism,Social|Conventional,0.1023,0.1678,0.0803,0.2603,0.1778,0.2115,onet_bridge,synthetic_occupation,0.75,
bridge_logistics_43,business_professional,business_professional,Conventional|Enterprising,0.1509,0.1742,0.0633,0.1082,0.2184,0.285,onet_bridge,synthetic_occupation,0.75,
bridge_front_of_house_44,business_professional|hospitality_retail,business_professional|hospitality_retail,Social|Enterprising,0.137,0.0917,0.1013,0.2373,0.2337,0.1991,onet_bridge,synthetic_occupation,0.75,
bridge_call_centre_45,aerospace_manufacturing|business_professional|hospitality_retail,aerospace_manufacturing|business_professional|hospitality_retail,Social|Enterprising,0.0575,0.135,0.0852,0.2425,0.2414,0.2383,onet_bridge,synthetic_occupation,0.75,
bridge_sales_assoc_46,aerospace_manufacturing|business_professional|hospitality_retail,aerospace_manufacturing|business_professional|hospitality_retail,Enterprising|Social,0.12,0.1232,0.1072,0.188,0.2767,0.1849,onet_bridge,synthetic_occupation,0.75,
bridge_florist_47,creative_events,creative_events,Artistic|Conventional,0.121,0.0761,0.3195,0.1753,0.1223,0.1857,onet_bridge,synthetic_occupation,0.75,
bridge_web_dev_48,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.0705,0.2367,0.1863,0.1513,0.1482,0.207,onet_bridge,synthetic_occupation,0.75,
bridge_video_editor_50,business_professional|creative_events|cyber_digital,business_professional|creative_events|cyber_digital,Artistic|Enterprising,0.1079,0.1568,0.3202,0.0895,0.1931,0.1325,onet_bridge,synthetic_occupation,0.75,
bridge_local_gov_51,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Social,0.0259,0.1278,0.0774,0.227,0.2127,0.3292,onet_bridge,synthetic_occupation,0.75,
bridge_local_gov_53,business_professional,business_professional,Conventional|Social,0.0486,0.1563,0.0984,0.2,0.1378,0.359,onet_bridge,synthetic_occupation,0.75,
bridge_industrial_eng_54,business_professional|cyber_digital|health_care,business_professional|cyber_digital|health_care,Investigative|Conventional,0.1838,0.2543,0.1223,0.0582,0.1483,0.2331,onet_bridge,synthetic_occupation,0.75,
bridge_insurance_56,business_professional,business_professional,Conventional|Enterprising,0.0709,0.1531,0.1092,0.1612,0.2352,0.2703,onet_bridge,synthetic_occupation,0.75,
bridge_teacher_57,health_care|hospitality_tourism|public_sector,health_care|hospitality_tourism|public_sector,Social|Conventional,0.0367,0.1711,0.1695,0.2814,0.161,0.1802,onet_bridge,synthetic_occupation,0.75,
bridge_biotech_58,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1847,0.2987,0.1048,0.0995,0.0986,0.2137,onet_bridge,synthetic_occupation,0.75,
bridge_sales_assoc_59,business_professional|health_care|hospitality_retail,business_professional|health_care|hospitality_retail,Enterprising|Social,0.1356,0.1,0.1237,0.2277,0.2633,0.1497,onet_bridge,synthetic_occupation,0.75,
bridge_nurse_62,education_training|health_care,education_training|health_care,Social|Investigative,0.1306,0.1831,0.0588,0.3036,0.144,0.1799,onet_bridge,synthetic_occupation,0.75,
bridge_network_tech_63,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.2055,0.272,0.0682,0.0913,0.0854,0.2776,onet_bridge,synthetic_occupation,0.75,
bridge_logistics_64,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.183,0.2002,0.0621,0.1007,0.188,0.2661,onet_bridge,synthetic_occupation,0.75,
bridge_warehouse_65,aerospace_manufacturing|construction_green|hospitality_retail,aerospace_manufacturing|construction_green|hospitality_retail,Realistic|Conventional,0.2952,0.0902,0.0604,0.1399,0.1455,0.2688,onet_bridge,synthetic_occupation,0.75,
bridge_cloud_eng_67,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.1671,0.2292,0.1011,0.1303,0.1084,0.2639,onet_bridge,synthetic_occupation,0.75,
bridge_cloud_eng_68,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1128,0.2914,0.1204,0.0726,0.1619,0.2408,onet_bridge,synthetic_occupation,0.75,
bridge_call_centre_69,business_professional|hospitality_retail,business_professional|hospitality_retail,Enterprising|Social,0.0629,0.0899,0.0955,0.2711,0.2806,0.2,onet_bridge,synthetic_occupation,0.75,
bridge_content_creator_70,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Enterprising|Artistic,0.0481,0.1367,0.2156,0.2013,0.2347,0.1635,onet_bridge,synthetic_occupation,0.75,
bridge_fire_fighter_71,aerospace_manufacturing|health_care|public_sector,aerospace_manufacturing|health_care|public_sector,Realistic|Social,0.2195,0.172,0.0427,0.2094,0.1543,0.2022,onet_bridge,synthetic_occupation,0.75,
bridge_early_years_73,health_care|hospitality_retail|hospitality_tourism,health_care|hospitality_retail|hospitality_tourism,Social|Conventional,0.0872,0.0855,0.1776,0.2971,0.1532,0.1995,onet_bridge,synthetic_occupation,0.75,
bridge_electrician_74,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Investigative,0.2851,0.201,0.1297,0.1094,0.0785,0.1963,onet_bridge,synthetic_occupation,0.75,
bridge_cad_tech_75,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1357,0.2243,0.2135,0.0777,0.1308,0.218,onet_bridge,synthetic_occupation,0.75,
bridge_drone_op_76,aerospace_manufacturing|construction_green|cyber_digital,aerospace_manufacturing|construction_green|cyber_digital,Investigative|Conventional,0.1991,0.2444,0.1094,0.0821,0.1657,0.1993,onet_bridge,synthetic_occupation,0.75,
bridge_ta_77,business_professional|hospitality_retail|hospitality_tourism,business_professional|hospitality_retail|hospitality_tourism,Social|Conventional,0.0823,0.139,0.1102,0.2785,0.1473,0.2428,onet_bridge,synthetic_occupation,0.75,
bridge_food_sci_80,business_professional|creative_events|cyber_digital,business_professional|creative_events|cyber_digital,Investigative|Conventional,0.1402,0.3084,0.1255,0.1153,0.122,0.1886,onet_bridge,synthetic_occupation,0.75,
bridge_data_analyst_81,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.0835,0.2795,0.1051,0.0959,0.1546,0.2813,onet_bridge,synthetic_occupation,0.75,
bridge_journalist_82,business_professional|creative_events|cyber_digital,business_professional|creative_events|cyber_digital,Enterprising|Investigative,0.0225,0.2115,0.1793,0.1595,0.2357,0.1914,onet_bridge,synthetic_occupation,0.75,
bridge_ux_designer_83,creative_events,creative_events,Artistic|Conventional,0.1007,0.1549,0.2646,0.128,0.1545,0.1972,onet_bridge,synthetic_occupation,0.75,
bridge_network_tech_84,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.1718,0.271,0.0738,0.0872,0.1176,0.2786,onet_bridge,synthetic_occupation,0.75,
bridge_food_sci_86,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1368,0.2821,0.1107,0.1359,0.0818,0.2528,onet_bridge,synthetic_occupation,0.75,
bridge_kitchen_porter_87,business_professional|construction_green|hospitality_retail,business_professional|construction_green|hospitality_retail,Realistic|Conventional,0.309,0.0421,0.0972,0.1638,0.1291,0.2588,onet_bridge,synthetic_occupation,0.75,
bridge_beauty_89,business_professional|health_care|hospitality_retail,business_professional|health_care|hospitality_retail,Social|Enterprising,0.1307,0.0977,0.183,0.2291,0.1871,0.1724,onet_bridge,synthetic_occupation,0.75,
bridge_museum_90,education_training|health_care|public_sector,education_training|health_care|public_sector,Artistic|Conventional,0.0923,0.1512,0.2181,0.2,0.1258,0.2126,onet_bridge,synthetic_occupation,0.75,
bridge_cad_tech_91,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.1062,0.2405,0.1725,0.0917,0.1133,0.2757,onet_bridge,synthetic_occupation,0.75,
bridge_lab_tech_92,business_professional|cyber_digital,business_professional|cyber_digital,Conventional|Investigative,0.1839,0.2561,0.1014,0.0988,0.0894,0.2703,onet_bridge,synthetic_occupation,0.75,
bridge_hca_93,creative_events|health_care|hospitality_tourism,creative_events|health_care|hospitality_tourism,Social|Realistic,0.1952,0.1105,0.0909,0.3073,0.1141,0.1821,onet_bridge,synthetic_occupation,0.75,
bridge_surveyor_94,aerospace_manufacturing|construction_green|cyber_digital,aerospace_manufacturing|construction_green|cyber_digital,Conventional|Investigative,0.1887,0.1964,0.1203,0.0798,0.1707,0.2441,onet_bridge,synthetic_occupation,0.75,
bridge_baker_95,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Conventional|Realistic,0.1962,0.1369,0.1689,0.1335,0.1475,0.217,onet_bridge,synthetic_occupation,0.75,
bridge_social_worker_96,health_care|public_sector,health_care|public_sector,Social|Conventional,0.098,0.1797,0.0935,0.2949,0.1268,0.207,onet_bridge,synthetic_occupation,0.75,
bridge_paramedic_97,business_professional|cyber_digital|health_care,business_professional|cyber_digital|health_care,Social|Realistic,0.2181,0.1932,0.039,0.2584,0.1154,0.1759,onet_bridge,synthetic_occupation,0.75,
bridge_chef_98,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Artistic,0.2442,0.0812,0.216,0.1356,0.1648,0.1581,onet_bridge,synthetic_occupation,0.75,
bridge_builder_99,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3756,0.096,0.0361,0.1585,0.1579,0.1759,onet_bridge,synthetic_occupation,0.75,
bridge_local_gov_100,business_professional|education_training|health_care,business_professional|education_training|health_care,Conventional|Social,0.0693,0.1143,0.1158,0.2325,0.1634,0.3047,onet_bridge,synthetic_occupation,0.75,
bridge_local_gov_101,business_professional,business_professional,Conventional|Social,0.0876,0.1586,0.1089,0.1856,0.1851,0.2742,onet_bridge,synthetic_occupation,0.75,
bridge_forest_worker_103,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3341,0.1548,0.1029,0.1152,0.1289,0.1642,onet_bridge,synthetic_occupation,0.75,
bridge_digital_marketer_104,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Enterprising|Artistic,0.0586,0.1613,0.2292,0.1443,0.2456,0.1611,onet_bridge,synthetic_occupation,0.75,
bridge_museum_105,creative_events,creative_events,Artistic|Conventional,0.1103,0.1399,0.2418,0.1703,0.1432,0.1944,onet_bridge,synthetic_occupation,0.75,
bridge_pharmacy_tech_106,business_professional|cyber_digital|health_care,business_professional|cyber_digital|health_care,Conventional|Investigative,0.1188,0.2824,0.0237,0.1614,0.1045,0.3091,onet_bridge,synthetic_occupation,0.75,
bridge_youth_worker_107,business_professional|education_training|hospitality_retail,business_professional|education_training|hospitality_retail,Social|Enterprising,0.0916,0.1424,0.1427,0.2761,0.1812,0.166,onet_bridge,synthetic_occupation,0.75,
bridge_forest_worker_109,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Social,0.2721,0.1382,0.153,0.1822,0.1038,0.1507,onet_bridge,synthetic_occupation,0.75,
bridge_carpenter_110,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3298,0.12,0.1691,0.0548,0.1264,0.1999,onet_bridge,synthetic_occupation,0.75,
bridge_food_sci_111,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1115,0.3419,0.0765,0.1397,0.1223,0.2081,onet_bridge,synthetic_occupation,0.75,
bridge_sales_rep_112,aerospace_manufacturing|business_professional|hospitality_retail,aerospace_manufacturing|business_professional|hospitality_retail,Enterprising|Social,0.0873,0.1323,0.1159,0.2119,0.2996,0.153,onet_bridge,synthetic_occupation,0.75,
bridge_paramedic_113,health_care,health_care,Social|Realistic,0.2491,0.1567,0.0406,0.2794,0.1196,0.1546,onet_bridge,synthetic_occupation,0.75,
bridge_occupational_therapist_115,health_care|public_sector,health_care|public_sector,Social|Investigative,0.1467,0.2224,0.1411,0.2289,0.1018,0.1591,onet_bridge,synthetic_occupation,0.75,
bridge_welder_116,aerospace_manufacturing|construction_green|cyber_digital,aerospace_manufacturing|construction_green|cyber_digital,Realistic|Conventional,0.2962,0.1741,0.0923,0.1032,0.104,0.2303,onet_bridge,synthetic_occupation,0.75,
bridge_surveyor_117,aerospace_manufacturing|construction_green|cyber_digital,aerospace_manufacturing|construction_green|cyber_digital,Conventional|Investigative,0.189,0.2011,0.1206,0.1207,0.1588,0.2097,onet_bridge,synthetic_occupation,0.75,
bridge_kitchen_porter_119,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3017,0.0502,0.1284,0.1433,0.1627,0.2136,onet_bridge,synthetic_occupation,0.75,
bridge_cnc_machinist_120,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.2688,0.1907,0.0558,0.0992,0.1384,0.2471,onet_bridge,synthetic_occupation,0.75,
bridge_cnc_machinist_123,aerospace_manufacturing|construction_green|health_care,aerospace_manufacturing|construction_green|health_care,Realistic|Conventional,0.322,0.2103,0.0786,0.0748,0.0726,0.2417,onet_bridge,synthetic_occupation,0.75,
bridge_fire_fighter_124,aerospace_manufacturing|construction_green|health_care,aerospace_manufacturing|construction_green|health_care,Realistic|Conventional,0.2653,0.1446,0.0923,0.1842,0.1024,0.2113,onet_bridge,synthetic_occupation,0.75,
bridge_content_creator_125,business_professional|creative_events|hospitality_retail,business_professional|creative_events|hospitality_retail,Artistic|Enterprising,0.03,0.1164,0.2572,0.2125,0.2374,0.1464,onet_bridge,synthetic_occupation,0.75,
bridge_brewery_126,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Conventional|Realistic,0.1908,0.1815,0.1727,0.0814,0.1563,0.2174,onet_bridge,synthetic_occupation,0.75,
bridge_forest_worker_128,aerospace_manufacturing|construction_green|health_care,aerospace_manufacturing|construction_green|health_care,Realistic|Conventional,0.2627,0.1748,0.0714,0.1819,0.1125,0.1967,onet_bridge,synthetic_occupation,0.75,
bridge_biomed_eng_129,agri_tech_food|cyber_digital|health_care,agri_tech_food|cyber_digital|health_care,Investigative|Conventional,0.169,0.3046,0.0732,0.1589,0.0905,0.2039,onet_bridge,synthetic_occupation,0.75,
bridge_warehouse_130,aerospace_manufacturing|construction_green|health_care,aerospace_manufacturing|construction_green|health_care,Realistic|Conventional,0.2843,0.128,0.084,0.0822,0.1482,0.2733,onet_bridge,synthetic_occupation,0.75,
bridge_physio_131,health_care,health_care,Social|Investigative,0.166,0.1907,0.0825,0.2601,0.1207,0.1801,onet_bridge,synthetic_occupation,0.75,
bridge_cnc_machinist_132,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3104,0.1732,0.1087,0.0847,0.0832,0.2399,onet_bridge,synthetic_occupation,0.75,
