occupation_key,title,onetsoc_code,sectors,r,i,a,s,e,c,notes
retail_manager,Retail Store Manager,41-1011.00,hospitality_retail|business_professional,2.5,2.5,2.5,4.5,6.5,5.5,retail lead
sales_assoc,Retail Salesperson,41-2031.00,hospitality_retail,2.5,2.0,2.5,5.0,6.0,4.5,shop floor
customer_service,Customer Service Representative,43-4051.00,hospitality_retail|business_professional,1.5,2.5,2.0,5.5,4.5,5.5,service
accountant,Accountant,13-2011.00,business_professional,1.5,4.5,1.5,2.5,3.5,7.0,conventional
hr,Human Resources Specialist,13-1071.00,business_professional|education_training,1.5,3.0,2.5,5.5,5.0,5.5,people ops
project_manager,Project Management Specialist,13-1082.00,business_professional|aerospace_manufacturing,2.5,4.0,2.5,4.0,6.0,5.5,delivery
business_admin,Administrative Assistant,43-6014.00,business_professional,1.5,2.5,2.0,4.0,3.5,6.8,admin
financial_clerk,Bookkeeping Clerk,43-3031.00,business_professional,1.5,3.5,1.5,2.5,3.0,7.0,finance entry
sales_rep,Sales Representative,41-4012.00,business_professional|hospitality_retail,2.0,3.0,3.0,4.5,7.0,4.0,enterprising
entrepreneur,General and Operations Manager,11-1021.00,business_professional|hospitality_retail,3.0,3.5,3.0,4.0,7.0,5.0,enterprise
lab_tech,Chemical Technician,19-4031.00,aerospace_manufacturing|agri_tech_food|health_care,4.0,6.0,2.0,2.5,2.0,5.5,lab
biotech,Biological Technician,19-4021.00,health_care|agri_tech_food,3.5,6.5,2.0,3.0,2.0,5.0,life sciences
ux_designer,Web and Digital Interface Designer,15-1255.00,cyber_digital|creative_events,2.0,4.5,6.0,3.5,4.0,4.5,digital creative
content_creator,Public Relations Specialist,27-3031.00,creative_events|business_professional,1.5,3.0,5.5,5.0,6.0,4.0,comms
sports_coach,Coaches and Scouts,27-2022.00,health_care|education_training,5.0,3.0,3.0,6.0,5.0,3.5,sport
logistics,Logistics Coordinator,13-1081.00,business_professional|aerospace_manufacturing,3.5,4.0,1.5,3.0,4.5,6.0,ops
quality_control,Quality Control Inspector,51-9061.00,aerospace_manufacturing|construction_green,5.0,4.5,1.5,2.0,2.5,6.5,QA
welder,Welder,51-4121.00,aerospace_manufacturing|construction_green,7.0,3.0,2.0,1.5,2.0,4.5,heavy trade
hvac,HVAC Technician,49-9021.00,construction_green,6.5,4.0,1.5,3.0,3.0,5.0,building services
vet_nurse,Veterinary Technologist,29-2056.00,agri_tech_food|health_care,4.5,5.0,2.0,5.5,2.5,5.0,animal care
dental_nurse,Dental Assistant,31-9091.00,health_care,3.5,3.5,2.0,5.5,3.0,5.5,clinical support
librarian,Librarian,25-4021.00,education_training|public_sector|business_professional,1.5,4.0,3.5,5.0,2.5,6.0,info services
journalist,News Analyst / Reporter,27-3023.00,creative_events|business_professional,2.0,4.5,6.0,4.5,5.0,4.0,media writing
paralegal,Paralegal,23-2011.00,public_sector|business_professional,1.5,4.0,2.0,4.0,3.5,6.5,legal admin
security_guard,Security Guard,33-9032.00,public_sector|hospitality_retail,4.5,2.5,1.5,4.0,3.5,5.0,protective
bar_staff,Bartender,35-3011.00,hospitality_tourism|hospitality_retail,3.5,2.0,3.5,5.5,5.5,3.5,hospitality
beauty,Skincare Specialist,39-5094.00,hospitality_retail|health_care,3.0,2.5,4.5,5.5,5.0,4.0,personal care
estate_agent,Real Estate Sales Agent,41-9022.00,business_professional|construction_green,2.5,3.0,3.0,4.5,7.0,4.5,property
architect,Architect,17-1011.00,construction_green|creative_events,3.5,5.5,6.5,3.0,4.5,5.0,design build
civil_engineer,Civil Engineer,17-2051.00,construction_green|public_sector,4.5,6.0,3.0,2.5,3.5,5.5,infra
drone_op,Electro-Mechanical Technician,17-3024.00,aerospace_manufacturing|cyber_digital,5.5,5.5,2.5,2.0,3.0,5.0,emerging tech
game_dev,Video Game Designer,15-1255.01,cyber_digital|creative_events,2.5,5.0,6.5,2.5,4.0,4.5,games
care_home,Home Health Aide,31-1121.00,health_care,3.5,2.5,2.0,6.8,2.5,4.0,adult care
youth_worker,Social and Human Service Assistant,21-1093.00,public_sector|education_training,2.5,3.0,3.0,6.8,4.0,4.0,youth
museum,Museum Technician,25-4013.00,creative_events|public_sector|education_training,3.0,4.0,5.5,4.5,3.0,5.0,heritage
brewery,Food Batchmaker,51-3092.00,agri_tech_food|hospitality_tourism,5.0,3.5,3.0,2.5,3.5,5.0,food production
warehouse,Stockers and Order Fillers,53-7065.00,hospitality_retail|business_professional|aerospace_manufacturing,5.5,2.0,1.5,2.5,3.0,5.0,logistics floor
call_centre,Telemarketer / Contact Centre,41-9041.00,business_professional|hospitality_retail,1.5,2.0,2.0,4.5,6.0,5.0,phone sales
research_asst,Social Science Research Assistant,19-4061.00,education_training|public_sector|business_professional,2.0,6.5,3.0,4.0,2.5,5.5,research
mechatronics,Robotics Technician,17-3024.01,aerospace_manufacturing|cyber_digital,5.5,6.0,2.5,2.0,2.5,5.5,advanced mfg
sustainability_officer,Sustainability Specialist,13-1199.05,public_sector|agri_tech_food|business_professional,3.0,5.0,3.0,4.5,4.5,5.0,ESG
apprentice_chef,Cook / Restaurant Cook,35-2014.00,hospitality_tourism,5.0,2.0,4.0,3.5,3.5,4.0,entry hospitality
digital_marketer,Search Marketing Strategist,13-1161.01,cyber_digital|business_professional|creative_events,1.5,4.0,4.5,3.5,6.0,5.0,growth
cloud_eng,Cloud Engineer,15-1241.00,cyber_digital,3.0,6.5,2.0,2.0,3.0,6.0,infra cloud
biomed_eng,Biomedical Engineer,17-2031.00,health_care|aerospace_manufacturing,4.0,6.8,2.5,3.0,2.5,5.0,medtech
forest_worker,Forest and Conservation Worker,45-4011.00,agri_tech_food|public_sector,6.5,3.5,2.0,3.0,2.5,3.5,land outdoor
builder,Construction Labourer,47-2061.00,construction_green,7.0,2.5,1.5,2.5,3.0,3.5,site entry
florist,Floral Designer,27-1023.00,creative_events|hospitality_retail,3.5,2.5,6.5,4.0,4.0,3.5,creative retail
baker,Baker,51-3011.00,hospitality_tourism|agri_tech_food,5.5,2.5,4.0,3.0,3.5,5.0,food craft
insurance,Insurance Sales Agent,41-3021.00,business_professional,1.5,3.0,2.0,4.5,6.5,5.5,financial sales
occupational_therapist,Occupational Therapist,29-1122.00,health_care|education_training,3.5,5.0,3.5,6.5,3.0,4.5,rehab
fire_fighter,Firefighter,33-2011.00,public_sector,6.0,3.5,1.5,5.5,3.5,4.5,emergency
sound_tech,Audio and Video Technician,27-4011.00,creative_events,4.0,4.0,5.5,3.0,3.5,4.5,AV events
cad_tech,Drafter / CAD Technician,17-3011.00,aerospace_manufacturing|construction_green|creative_events,3.5,5.5,5.0,2.0,2.5,5.5,design tech
procurement,Purchasing Agent,13-1023.00,business_professional|aerospace_manufacturing,2.0,3.5,1.5,3.0,5.0,6.5,supply chain
receptionist,Receptionist,43-4171.00,business_professional|hospitality_tourism|health_care,1.5,2.0,2.5,5.5,4.0,6.0,front desk
kitchen_porter,Dishwasher / KP,35-9021.00,hospitality_tourism,5.0,1.5,1.5,3.0,2.5,4.0,entry hospitality
careers_adviser,Educational Guidance Counselor,21-1012.00,education_training|public_sector,1.5,4.0,3.0,6.8,4.0,5.0,IAG
